method,architecture_id,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,0,108,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.258389833912043,15.654238799241249
CNP,m0,0,108,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.652152751811788,5.54836669001068
CNP,m0,0,108,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.534469606785847,4.235867429068188
CNP,m0,0,108,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.356247688742757,10.094352221747823
CNP,m0,0,109,1000,full,Full 500-3000 keV,442,58,114299,4.779411069677277,6.56547784473132
CNP,m0,0,109,1000,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.817818013845174,10.594366370480094
CNP,m0,0,109,1000,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.937528463526021,12.914398632964911
CNP,m0,0,109,1000,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.45593560701389,5.216749920890653
CNP,m0,0,109,1000,SE,Tl-208 SE 2103 keV,6,0,2023,11.160705476445248,15.58411215723354
CNP,m0,0,109,1000,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.703276424591666,5.601126783670536
CNP,m0,0,109,1000,FE,Tl-208 FE 2614 keV,5,1,8709,3.6532790042186813,4.357216205412551
CNP,m0,0,109,1000,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,9.239166637114195,9.977369776906047
CNP,m0,0,100,2000,full,Full 500-3000 keV,442,58,114299,4.789934145680331,6.589224141088404
