subset_id,training_budget_nominal_events,method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
seed20260910_n5000,5000,CNP,m0,1,106,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012366447860934215,25.534791885277418
seed20260910_n5000,5000,CNP,m0,1,106,SE,SE,supported,1356,657,-28.4731482603952,-0.01873761599053836,28.45441064440466
seed20260910_n5000,5000,CNP,m0,1,106,FE,FE,supported,8522,202,-2.4836125950074477,-0.46118938398097,2.022423211026478
seed20260910_n5000,5000,CNP,m0,1,107,DEP,DEP,supported,828,464,21.01865733799767,-0.015477528051233147,21.034134866048902
seed20260910_n5000,5000,CNP,m0,1,107,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.011865919002929104,25.535292414135423
seed20260910_n5000,5000,CNP,m0,1,107,SE,SE,supported,1356,657,-28.4731482603952,-0.01923369272497366,28.453914567670225
seed20260910_n5000,5000,CNP,m0,1,107,FE,FE,supported,8522,202,-2.4836125950074477,-0.4609736308058443,2.0226389642016036
seed20260910_n5000,5000,CNP,m0,1,108,DEP,DEP,supported,828,464,21.01865733799767,-0.01539185568292245,21.034049193680595
seed20260910_n5000,5000,CNP,m0,1,108,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012274776338438986,25.534883556799915
seed20260910_n5000,5000,CNP,m0,1,108,SE,SE,supported,1356,657,-28.4731482603952,-0.019623470879476246,28.453524789515722
seed20260910_n5000,5000,CNP,m0,1,108,FE,FE,supported,8522,202,-2.4836125950074477,-0.4629871680983111,2.020625426909137
seed20260910_n5000,5000,CNP,m0,1,109,DEP,DEP,supported,828,464,21.01865733799767,-0.015243741865333948,21.033901079863004
seed20260910_n5000,5000,CNP,m0,1,109,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.012414318215880904,25.534744014922474
seed20260910_n5000,5000,CNP,m0,1,109,SE,SE,supported,1356,657,-28.4731482603952,-0.018347848526850674,28.454800411868348
seed20260910_n5000,5000,CNP,m0,1,109,FE,FE,supported,8522,202,-2.4836125950074477,-0.4579982910308089,2.025614303976639
seed20260910_n5000,5000,CNP,m0,2,100,DEP,DEP,supported,828,464,21.01865733799767,0.022827200653618984,20.99583013734405
seed20260910_n5000,5000,CNP,m0,2,100,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.003144088166229242,25.544014244972125
seed20260910_n5000,5000,CNP,m0,2,100,SE,SE,supported,1356,657,-28.4731482603952,-0.009922705729104031,28.463225554666096
seed20260910_n5000,5000,CNP,m0,2,100,FE,FE,supported,8522,202,-2.4836125950074477,-0.4813019947813857,2.002310600226062
seed20260910_n5000,5000,CNP,m0,2,101,DEP,DEP,supported,828,464,21.01865733799767,0.02280001523068398,20.995857322766987
seed20260910_n5000,5000,CNP,m0,2,101,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.003173907511344609,25.54398442562701
seed20260910_n5000,5000,CNP,m0,2,101,SE,SE,supported,1356,657,-28.4731482603952,-0.009897106348688567,28.46325115404651
seed20260910_n5000,5000,CNP,m0,2,101,FE,FE,supported,8522,202,-2.4836125950074477,-0.4793432977083345,2.004269297299113
seed20260910_n5000,5000,CNP,m0,2,102,DEP,DEP,supported,828,464,21.01865733799767,0.023276093900426176,20.995381244097246
seed20260910_n5000,5000,CNP,m0,2,102,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.003285450979895188,25.543872882158457
seed20260910_n5000,5000,CNP,m0,2,102,SE,SE,supported,1356,657,-28.4731482603952,-0.010099230444382545,28.463049029950817
seed20260910_n5000,5000,CNP,m0,2,102,FE,FE,supported,8522,202,-2.4836125950074477,-0.4813913731505748,2.002221221856873
seed20260910_n5000,5000,CNP,m0,2,103,DEP,DEP,supported,828,464,21.01865733799767,0.02084784747763413,20.997809490520037
seed20260910_n5000,5000,CNP,m0,2,103,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0016361433505140965,25.54552218978784
seed20260910_n5000,5000,CNP,m0,2,103,SE,SE,supported,1356,657,-28.4731482603952,-0.010575706948157126,28.46257255344704
seed20260910_n5000,5000,CNP,m0,2,103,FE,FE,supported,8522,202,-2.4836125950074477,-0.4710913368008163,2.0125212582066316
seed20260910_n5000,5000,CNP,m0,2,104,DEP,DEP,supported,828,464,21.01865733799767,0.021912021698056172,20.996745316299613
seed20260910_n5000,5000,CNP,m0,2,104,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.001968790789252939,25.5451895423491
seed20260910_n5000,5000,CNP,m0,2,104,SE,SE,supported,1356,657,-28.4731482603952,-0.010629937320272287,28.462518323074924
seed20260910_n5000,5000,CNP,m0,2,104,FE,FE,supported,8522,202,-2.4836125950074477,-0.47354553119329235,2.0100670638141556
seed20260910_n5000,5000,CNP,m0,2,105,DEP,DEP,supported,828,464,21.01865733799767,0.021295696967349453,20.99736164103032
seed20260910_n5000,5000,CNP,m0,2,105,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0020754070441886263,25.545082926094164
seed20260910_n5000,5000,CNP,m0,2,105,SE,SE,supported,1356,657,-28.4731482603952,-0.010541706896549652,28.46260655349865
seed20260910_n5000,5000,CNP,m0,2,105,FE,FE,supported,8522,202,-2.4836125950074477,-0.47216029929955106,2.0114522957078966
seed20260910_n5000,5000,CNP,m0,2,106,DEP,DEP,supported,828,464,21.01865733799767,0.022357865370581376,20.99629947262709
seed20260910_n5000,5000,CNP,m0,2,106,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0027219392239485884,25.544436393914406
seed20260910_n5000,5000,CNP,m0,2,106,SE,SE,supported,1356,657,-28.4731482603952,-0.010322318654021334,28.462825941741176
seed20260910_n5000,5000,CNP,m0,2,106,FE,FE,supported,8522,202,-2.4836125950074477,-0.4778797005641655,2.005732894443282
seed20260910_n5000,5000,CNP,m0,2,107,DEP,DEP,supported,828,464,21.01865733799767,0.021159008662274825,20.997498329335397
seed20260910_n5000,5000,CNP,m0,2,107,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0020138314788753497,25.54514450165948
seed20260910_n5000,5000,CNP,m0,2,107,SE,SE,supported,1356,657,-28.4731482603952,-0.010661138170475759,28.462487122224722
seed20260910_n5000,5000,CNP,m0,2,107,FE,FE,supported,8522,202,-2.4836125950074477,-0.47166217215638406,2.0119504228510636
seed20260910_n5000,5000,CNP,m0,2,108,DEP,DEP,supported,828,464,21.01865733799767,0.02078153828771745,20.997875799709952
seed20260910_n5000,5000,CNP,m0,2,108,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0019563668636868314,25.545201966274668
seed20260910_n5000,5000,CNP,m0,2,108,SE,SE,supported,1356,657,-28.4731482603952,-0.010395943973784405,28.462752316421415
seed20260910_n5000,5000,CNP,m0,2,108,FE,FE,supported,8522,202,-2.4836125950074477,-0.47158644048239107,2.012026154525057
seed20260910_n5000,5000,CNP,m0,2,109,DEP,DEP,supported,828,464,21.01865733799767,0.023044186388421206,20.99561315160925
seed20260910_n5000,5000,CNP,m0,2,109,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.0027111306227678433,25.544447202515585
seed20260910_n5000,5000,CNP,m0,2,109,SE,SE,supported,1356,657,-28.4731482603952,-0.010413900544814503,28.462734359850383
seed20260910_n5000,5000,CNP,m0,2,109,FE,FE,supported,8522,202,-2.4836125950074477,-0.4771582524036755,2.006454342603772
seed20260910_n5000,5000,Attentive CNP,m1,0,100,DEP,DEP,supported,828,464,21.01865733799767,-0.013537154350040659,21.03219449234771
seed20260910_n5000,5000,Attentive CNP,m1,0,100,feature_1620kev,"1,620.74-keV feature",supported,790,541,-25.547158333138352,-0.014296495811527699,25.532861837326827
