variant,method,context_size,context_seed,feature,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
context_only,Gaussian kernel regression (context only),2000,107,FE,8522,202,-2.4836125950074477,-0.17957933810880122,2.304033256898647
context_only,Gaussian kernel regression (context only),2000,108,DEP,828,464,21.01865733799767,0.05486856570994236,20.963788772287728
context_only,Gaussian kernel regression (context only),2000,108,Bi-212,790,541,-25.547158333138352,0.034117090058310984,25.581275423196665
context_only,Gaussian kernel regression (context only),2000,108,SE,1356,657,-28.4731482603952,-0.1472717085379105,28.325876551857288
context_only,Gaussian kernel regression (context only),2000,108,FE,8522,202,-2.4836125950074477,0.004749767894721146,2.488362362902169
context_only,Gaussian kernel regression (context only),2000,109,DEP,828,464,21.01865733799767,-0.03284742215449166,21.051504760152163
context_only,Gaussian kernel regression (context only),2000,109,Bi-212,790,541,-25.547158333138352,-0.11900551648397761,25.428152816654375
context_only,Gaussian kernel regression (context only),2000,109,SE,1356,657,-28.4731482603952,-0.15809158932308387,28.315056671072114
context_only,Gaussian kernel regression (context only),2000,109,FE,8522,202,-2.4836125950074477,0.0917899172721226,2.5754025122795703
pooled_data,Gaussian kernel regression (pooled data + context),250,100,DEP,828,464,21.01865733799767,16.743778323542934,4.2748790144547355
pooled_data,Gaussian kernel regression (pooled data + context),250,100,Bi-212,790,541,-25.547158333138352,-28.318619647669795,2.7714613145314426
pooled_data,Gaussian kernel regression (pooled data + context),250,100,SE,1356,657,-28.4731482603952,-22.13696690710453,6.336181353290668
pooled_data,Gaussian kernel regression (pooled data + context),250,100,FE,8522,202,-2.4836125950074477,3.728377876355504,6.211990471362952
pooled_data,Gaussian kernel regression (pooled data + context),250,101,DEP,828,464,21.01865733799767,5.22826757637298,15.79038976162469
pooled_data,Gaussian kernel regression (pooled data + context),250,101,Bi-212,790,541,-25.547158333138352,-6.735820974687556,18.811337358450796
pooled_data,Gaussian kernel regression (pooled data + context),250,101,SE,1356,657,-28.4731482603952,-4.165287184494221,24.307861075900977
pooled_data,Gaussian kernel regression (pooled data + context),250,101,FE,8522,202,-2.4836125950074477,0.058600291470586874,2.5422128864780347
pooled_data,Gaussian kernel regression (pooled data + context),250,102,DEP,828,464,21.01865733799767,5.396890500753681,15.621766837243989
pooled_data,Gaussian kernel regression (pooled data + context),250,102,Bi-212,790,541,-25.547158333138352,-6.966753039634893,18.58040529350346
pooled_data,Gaussian kernel regression (pooled data + context),250,102,SE,1356,657,-28.4731482603952,-4.170358862556695,24.302789397838502
pooled_data,Gaussian kernel regression (pooled data + context),250,102,FE,8522,202,-2.4836125950074477,0.0604449330943696,2.5440575281018174
pooled_data,Gaussian kernel regression (pooled data + context),250,103,DEP,828,464,21.01865733799767,10.440373665178804,10.578283672818866
pooled_data,Gaussian kernel regression (pooled data + context),250,103,Bi-212,790,541,-25.547158333138352,-16.595809621414958,8.951348711723394
pooled_data,Gaussian kernel regression (pooled data + context),250,103,SE,1356,657,-28.4731482603952,-12.065817222023966,16.407331038371233
pooled_data,Gaussian kernel regression (pooled data + context),250,103,FE,8522,202,-2.4836125950074477,0.3437616933060189,2.8273742883134667
pooled_data,Gaussian kernel regression (pooled data + context),250,104,DEP,828,464,21.01865733799767,1.2756308586924892,19.743026479305183
pooled_data,Gaussian kernel regression (pooled data + context),250,104,Bi-212,790,541,-25.547158333138352,-1.3662465063188023,24.18091182681955
pooled_data,Gaussian kernel regression (pooled data + context),250,104,SE,1356,657,-28.4731482603952,-0.9080374835899463,27.565110776805252
pooled_data,Gaussian kernel regression (pooled data + context),250,104,FE,8522,202,-2.4836125950074477,-0.005189757839610398,2.4784228371678374
pooled_data,Gaussian kernel regression (pooled data + context),250,105,DEP,828,464,21.01865733799767,9.333676039948436,11.684981298049236
pooled_data,Gaussian kernel regression (pooled data + context),250,105,Bi-212,790,541,-25.547158333138352,-16.344140764038762,9.203017569099591
pooled_data,Gaussian kernel regression (pooled data + context),250,105,SE,1356,657,-28.4731482603952,-12.644548167518948,15.828600092876249
pooled_data,Gaussian kernel regression (pooled data + context),250,105,FE,8522,202,-2.4836125950074477,0.32114599610791883,2.8047585911153665
pooled_data,Gaussian kernel regression (pooled data + context),250,106,DEP,828,464,21.01865733799767,1.24538478905305,19.77327254894462
pooled_data,Gaussian kernel regression (pooled data + context),250,106,Bi-212,790,541,-25.547158333138352,-1.3323981060972434,24.21476022704111
pooled_data,Gaussian kernel regression (pooled data + context),250,106,SE,1356,657,-28.4731482603952,-0.8942501170262573,27.578898143368942
pooled_data,Gaussian kernel regression (pooled data + context),250,106,FE,8522,202,-2.4836125950074477,-0.004242212762317621,2.47937038224513
pooled_data,Gaussian kernel regression (pooled data + context),250,107,DEP,828,464,21.01865733799767,1.2557696809983754,19.762887656999297
pooled_data,Gaussian kernel regression (pooled data + context),250,107,Bi-212,790,541,-25.547158333138352,-1.362086042871824,24.18507229026653
pooled_data,Gaussian kernel regression (pooled data + context),250,107,SE,1356,657,-28.4731482603952,-0.8693855366421088,27.60376272375309
pooled_data,Gaussian kernel regression (pooled data + context),250,107,FE,8522,202,-2.4836125950074477,0.002278993371321314,2.4858915883787693
pooled_data,Gaussian kernel regression (pooled data + context),250,108,DEP,828,464,21.01865733799767,5.326299346857977,15.692357991139694
pooled_data,Gaussian kernel regression (pooled data + context),250,108,Bi-212,790,541,-25.547158333138352,-6.845859584335567,18.701298748802785
pooled_data,Gaussian kernel regression (pooled data + context),250,108,SE,1356,657,-28.4731482603952,-4.197070978123513,24.276077282271686
pooled_data,Gaussian kernel regression (pooled data + context),250,108,FE,8522,202,-2.4836125950074477,0.009597430971475251,2.493210025978923
pooled_data,Gaussian kernel regression (pooled data + context),250,109,DEP,828,464,21.01865733799767,1.2739758666622691,19.7446814713354
pooled_data,Gaussian kernel regression (pooled data + context),250,109,Bi-212,790,541,-25.547158333138352,-1.3686074407154303,24.178550892422923
pooled_data,Gaussian kernel regression (pooled data + context),250,109,SE,1356,657,-28.4731482603952,-0.9265767604114183,27.54657149998378
pooled_data,Gaussian kernel regression (pooled data + context),250,109,FE,8522,202,-2.4836125950074477,-0.009128778902214862,2.474483816105233
pooled_data,Gaussian kernel regression (pooled data + context),500,100,DEP,828,464,21.01865733799767,1.2819780442353323,19.73667929376234
pooled_data,Gaussian kernel regression (pooled data + context),500,100,Bi-212,790,541,-25.547158333138352,-1.3207268665026195,24.226431466635734
pooled_data,Gaussian kernel regression (pooled data + context),500,100,SE,1356,657,-28.4731482603952,-0.8745490483772933,27.598599212017906
pooled_data,Gaussian kernel regression (pooled data + context),500,100,FE,8522,202,-2.4836125950074477,-0.0062981764901132165,2.4773144185173344
pooled_data,Gaussian kernel regression (pooled data + context),500,101,DEP,828,464,21.01865733799767,10.008373523569492,11.01028381442818
pooled_data,Gaussian kernel regression (pooled data + context),500,101,Bi-212,790,541,-25.547158333138352,-15.113084473427257,10.434073859711097
pooled_data,Gaussian kernel regression (pooled data + context),500,101,SE,1356,657,-28.4731482603952,-12.267986303928586,16.20516195646661
pooled_data,Gaussian kernel regression (pooled data + context),500,101,FE,8522,202,-2.4836125950074477,0.260674084403803,2.7442866794112506
pooled_data,Gaussian kernel regression (pooled data + context),500,102,DEP,828,464,21.01865733799767,5.397322733822596,15.621334604175075
pooled_data,Gaussian kernel regression (pooled data + context),500,102,Bi-212,790,541,-25.547158333138352,-7.014254160290556,18.532904172847797
pooled_data,Gaussian kernel regression (pooled data + context),500,102,SE,1356,657,-28.4731482603952,-4.2293285755560355,24.243819684839163
pooled_data,Gaussian kernel regression (pooled data + context),500,102,FE,8522,202,-2.4836125950074477,0.035729732886216614,2.519342327893664
pooled_data,Gaussian kernel regression (pooled data + context),500,103,DEP,828,464,21.01865733799767,10.189711791391453,10.828945546606217
pooled_data,Gaussian kernel regression (pooled data + context),500,103,Bi-212,790,541,-25.547158333138352,-16.439434825856004,9.107723507282351
pooled_data,Gaussian kernel regression (pooled data + context),500,103,SE,1356,657,-28.4731482603952,-12.082656873303671,16.390491387091526
pooled_data,Gaussian kernel regression (pooled data + context),500,103,FE,8522,202,-2.4836125950074477,0.4263941494350165,2.910006744442464
pooled_data,Gaussian kernel regression (pooled data + context),500,104,DEP,828,464,21.01865733799767,0.03186553521411506,20.986791802783557
pooled_data,Gaussian kernel regression (pooled data + context),500,104,Bi-212,790,541,-25.547158333138352,-0.010104145002332032,25.537054188136022
pooled_data,Gaussian kernel regression (pooled data + context),500,104,SE,1356,657,-28.4731482603952,-0.09867098057748658,28.37447727981771
pooled_data,Gaussian kernel regression (pooled data + context),500,104,FE,8522,202,-2.4836125950074477,-0.026544690640803448,2.457067904366644
pooled_data,Gaussian kernel regression (pooled data + context),500,105,DEP,828,464,21.01865733799767,1.3188675736412359,19.699789764356435
pooled_data,Gaussian kernel regression (pooled data + context),500,105,Bi-212,790,541,-25.547158333138352,-1.4335419770516722,24.11361635608668
pooled_data,Gaussian kernel regression (pooled data + context),500,105,SE,1356,657,-28.4731482603952,-0.8967185519952181,27.57642970839998
pooled_data,Gaussian kernel regression (pooled data + context),500,105,FE,8522,202,-2.4836125950074477,-0.007427470974255557,2.4761851240331922
pooled_data,Gaussian kernel regression (pooled data + context),500,106,DEP,828,464,21.01865733799767,1.2678023745744227,19.750854963423247
pooled_data,Gaussian kernel regression (pooled data + context),500,106,Bi-212,790,541,-25.547158333138352,-1.3401456590882765,24.207012674050077
pooled_data,Gaussian kernel regression (pooled data + context),500,106,SE,1356,657,-28.4731482603952,-0.9033594086238217,27.569788851771378
pooled_data,Gaussian kernel regression (pooled data + context),500,106,FE,8522,202,-2.4836125950074477,0.004957238575403755,2.4885698335828517
pooled_data,Gaussian kernel regression (pooled data + context),500,107,DEP,828,464,21.01865733799767,1.273240958441102,19.74541637955657
pooled_data,Gaussian kernel regression (pooled data + context),500,107,Bi-212,790,541,-25.547158333138352,-1.3880279095659587,24.159130423572396
