method,architecture_id,training_seed,context_seed,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
Attentive CNP + PE,m2,1,103,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.697786613201426,9.149078987744682
Attentive CNP + PE,m2,1,103,FE,Tl-208 FE 2614 keV,5,1,8709,4.340550659295863,5.418615187597018
Attentive CNP + PE,m2,1,103,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.033307091767107,27.663488451954027
Attentive CNP + PE,m2,1,104,full,Full 500-3000 keV,442,58,114299,8.032959586686053,10.57757958068193
Attentive CNP + PE,m2,1,104,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.3663881557948825,6.777020127981028
Attentive CNP + PE,m2,1,104,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.763214210811051,9.35479878132087
Attentive CNP + PE,m2,1,104,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.789203636190486,8.462359483750435
Attentive CNP + PE,m2,1,104,SE,Tl-208 SE 2103 keV,6,0,2023,4.6404246864415635,6.0323894531235105
Attentive CNP + PE,m2,1,104,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.583194852898404,8.047337501621216
Attentive CNP + PE,m2,1,104,FE,Tl-208 FE 2614 keV,5,1,8709,3.74674949042891,4.780619950691464
Attentive CNP + PE,m2,1,104,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,24.320635589918297,29.052684619102738
Attentive CNP + PE,m2,1,105,full,Full 500-3000 keV,442,58,114299,8.168298070513883,10.671228296030497
Attentive CNP + PE,m2,1,105,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.625299633698715,7.003849511767222
Attentive CNP + PE,m2,1,105,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.941902248920946,9.684194902301572
Attentive CNP + PE,m2,1,105,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.881664086637559,8.573790924666197
Attentive CNP + PE,m2,1,105,SE,Tl-208 SE 2103 keV,6,0,2023,4.788819427983813,6.2704275195643255
Attentive CNP + PE,m2,1,105,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.848433529546323,8.305574640810308
Attentive CNP + PE,m2,1,105,FE,Tl-208 FE 2614 keV,5,1,8709,3.7968628347532243,4.8635652678782515
Attentive CNP + PE,m2,1,105,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.99538295309426,28.676888421266376
Attentive CNP + PE,m2,1,106,full,Full 500-3000 keV,442,58,114299,8.284712045103856,10.775682074286063
Attentive CNP + PE,m2,1,106,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.676328910405795,7.083295447832148
Attentive CNP + PE,m2,1,106,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.919261496850407,9.67849884288886
Attentive CNP + PE,m2,1,106,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.038469791448056,8.788346446936757
Attentive CNP + PE,m2,1,106,SE,Tl-208 SE 2103 keV,6,0,2023,4.795178987238775,6.326565131877694
Attentive CNP + PE,m2,1,106,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.141651025230414,8.586741730030756
Attentive CNP + PE,m2,1,106,FE,Tl-208 FE 2614 keV,5,1,8709,3.925156136968952,4.9765791835473
Attentive CNP + PE,m2,1,106,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.96489588486275,28.662284393780084
Attentive CNP + PE,m2,1,107,full,Full 500-3000 keV,442,58,114299,8.458929308809052,10.879987772723377
Attentive CNP + PE,m2,1,107,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.9880041552774355,7.42672904657246
Attentive CNP + PE,m2,1,107,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.082110078976891,10.04932365466552
Attentive CNP + PE,m2,1,107,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.217777022978438,8.975578723674307
Attentive CNP + PE,m2,1,107,SE,Tl-208 SE 2103 keV,6,0,2023,5.008209877841276,6.658556400253958
Attentive CNP + PE,m2,1,107,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.57522256785323,9.031575209690764
Attentive CNP + PE,m2,1,107,FE,Tl-208 FE 2614 keV,5,1,8709,4.3618472428574515,5.476481442975207
Attentive CNP + PE,m2,1,107,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.07356956380785,27.805462659826425
Attentive CNP + PE,m2,1,108,full,Full 500-3000 keV,442,58,114299,8.401628947991895,10.813467367884003
Attentive CNP + PE,m2,1,108,DEP,Tl-208 DEP 1592 keV,6,0,1323,5.96055966415527,7.405955371640363
Attentive CNP + PE,m2,1,108,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.106492222755064,10.06653598918308
Attentive CNP + PE,m2,1,108,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.19538846432078,8.949967342893665
Attentive CNP + PE,m2,1,108,SE,Tl-208 SE 2103 keV,6,0,2023,4.973364615248134,6.600513818362969
Attentive CNP + PE,m2,1,108,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.50160948018659,8.956461458620229
Attentive CNP + PE,m2,1,108,FE,Tl-208 FE 2614 keV,5,1,8709,4.417391267337431,5.558689544659438
Attentive CNP + PE,m2,1,108,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,22.828006480119832,27.51102680366489
Attentive CNP + PE,m2,1,109,full,Full 500-3000 keV,442,58,114299,8.44959018236215,10.880038274994803
Attentive CNP + PE,m2,1,109,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.048395228095441,7.428035065851854
Attentive CNP + PE,m2,1,109,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.153891640846025,10.141554428134786
Attentive CNP + PE,m2,1,109,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.15725542612171,8.902723567701493
Attentive CNP + PE,m2,1,109,SE,Tl-208 SE 2103 keV,6,0,2023,5.045912248729464,6.686654620468481
Attentive CNP + PE,m2,1,109,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,7.408831629709602,8.86391930410244
Attentive CNP + PE,m2,1,109,FE,Tl-208 FE 2614 keV,5,1,8709,4.1988839816413925,5.254571378637747
Attentive CNP + PE,m2,1,109,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.323846497458955,27.97266247402591
Attentive CNP + PE,m2,2,100,full,Full 500-3000 keV,442,58,114299,7.909472379790114,10.271041305947056
Attentive CNP + PE,m2,2,100,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.685502092457975,5.784809645246828
Attentive CNP + PE,m2,2,100,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.647408222942376,8.886065248553779
Attentive CNP + PE,m2,2,100,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.913829289449882,8.647521366959348
Attentive CNP + PE,m2,2,100,SE,Tl-208 SE 2103 keV,6,0,2023,4.334014219845014,5.393199024087865
Attentive CNP + PE,m2,2,100,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.022097893143628,7.218690515188561
Attentive CNP + PE,m2,2,100,FE,Tl-208 FE 2614 keV,5,1,8709,4.057482615333487,4.57163482789968
Attentive CNP + PE,m2,2,100,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,21.827013623083737,23.906107977787183
Attentive CNP + PE,m2,2,101,full,Full 500-3000 keV,442,58,114299,8.10835080053562,10.421690137626761
Attentive CNP + PE,m2,2,101,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.948967205727182,5.990930341560567
Attentive CNP + PE,m2,2,101,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.828923906277787,9.15780997451539
Attentive CNP + PE,m2,2,101,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.223085714786584,8.977743084266029
Attentive CNP + PE,m2,2,101,SE,Tl-208 SE 2103 keV,6,0,2023,4.437401233318665,5.62841113164667
Attentive CNP + PE,m2,2,101,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.504036497442275,7.714841853435998
Attentive CNP + PE,m2,2,101,FE,Tl-208 FE 2614 keV,5,1,8709,4.207101549852588,4.7468658312938095
Attentive CNP + PE,m2,2,101,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,21.283661393407506,23.29226207416507
Attentive CNP + PE,m2,2,102,full,Full 500-3000 keV,442,58,114299,8.0120531523437,10.351102182516934
Attentive CNP + PE,m2,2,102,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.839828095511523,5.8485868554690015
Attentive CNP + PE,m2,2,102,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.702155722046901,9.028282693648892
Attentive CNP + PE,m2,2,102,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.13331514075044,8.895242311207499
Attentive CNP + PE,m2,2,102,SE,Tl-208 SE 2103 keV,6,0,2023,4.335802436180287,5.447011755579425
Attentive CNP + PE,m2,2,102,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.254236661288292,7.475116556812497
Attentive CNP + PE,m2,2,102,FE,Tl-208 FE 2614 keV,5,1,8709,4.031091733223152,4.521702506724152
Attentive CNP + PE,m2,2,102,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,21.545313520697825,23.543128265235318
Attentive CNP + PE,m2,2,103,full,Full 500-3000 keV,442,58,114299,8.055986771501368,10.389187350013707
Attentive CNP + PE,m2,2,103,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.821099436567735,5.949582059327372
Attentive CNP + PE,m2,2,103,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.8346269151381405,9.111266925273494
Attentive CNP + PE,m2,2,103,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.098330253720324,8.851514142955892
Attentive CNP + PE,m2,2,103,SE,Tl-208 SE 2103 keV,6,0,2023,4.431229976454764,5.590571766375513
Attentive CNP + PE,m2,2,103,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.3507337492069755,7.554410562763257
Attentive CNP + PE,m2,2,103,FE,Tl-208 FE 2614 keV,5,1,8709,4.247923697120044,4.80394872815265
Attentive CNP + PE,m2,2,103,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,21.495994400295444,23.57783032503127
Attentive CNP + PE,m2,2,104,full,Full 500-3000 keV,442,58,114299,7.600363877804919,10.055054618868287
Attentive CNP + PE,m2,2,104,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.6397378912096245,5.344525558417918
Attentive CNP + PE,m2,2,104,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.059797700131266,8.286996949326129
Attentive CNP + PE,m2,2,104,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.6421312261016,8.297359519031358
Attentive CNP + PE,m2,2,104,SE,Tl-208 SE 2103 keV,6,0,2023,4.001297918709726,4.845586479518265
Attentive CNP + PE,m2,2,104,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.277687791182908,6.442640262948659
Attentive CNP + PE,m2,2,104,FE,Tl-208 FE 2614 keV,5,1,8709,3.4572358248724373,3.9294700255606982
Attentive CNP + PE,m2,2,104,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,23.017665858647756,25.10681138744687
Attentive CNP + PE,m2,2,105,full,Full 500-3000 keV,442,58,114299,7.687004083849771,10.106105796162629
Attentive CNP + PE,m2,2,105,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.629319043046113,5.472604815009691
Attentive CNP + PE,m2,2,105,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.261137830947138,8.491754340838817
Attentive CNP + PE,m2,2,105,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.7221803146286385,8.409889678767373
Attentive CNP + PE,m2,2,105,SE,Tl-208 SE 2103 keV,6,0,2023,4.1024516198338485,5.002794653674075
Attentive CNP + PE,m2,2,105,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.496381828966839,6.675717866517211
Attentive CNP + PE,m2,2,105,FE,Tl-208 FE 2614 keV,5,1,8709,3.7341114573792473,4.233777264750218
Attentive CNP + PE,m2,2,105,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,22.50354201933817,24.592813342823682
Attentive CNP + PE,m2,2,106,full,Full 500-3000 keV,442,58,114299,7.831577845807251,10.229388477935203
Attentive CNP + PE,m2,2,106,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.565850503774641,5.599240192828403
Attentive CNP + PE,m2,2,106,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.447580704555813,8.719573222353803
Attentive CNP + PE,m2,2,106,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,6.903807631629981,8.64787174954855
Attentive CNP + PE,m2,2,106,SE,Tl-208 SE 2103 keV,6,0,2023,4.199816602154627,5.192340610192258
Attentive CNP + PE,m2,2,106,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.811852023110851,7.023851349457162
Attentive CNP + PE,m2,2,106,FE,Tl-208 FE 2614 keV,5,1,8709,3.8126018188133535,4.281911389856433
Attentive CNP + PE,m2,2,106,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,22.23302743020198,24.285717284952355
Attentive CNP + PE,m2,2,107,full,Full 500-3000 keV,442,58,114299,8.058588174425621,10.379063664471845
Attentive CNP + PE,m2,2,107,DEP,Tl-208 DEP 1592 keV,6,0,1323,4.9024182452400815,5.940402912120247
Attentive CNP + PE,m2,2,107,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,7.785800835883329,9.101451520284503
Attentive CNP + PE,m2,2,107,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,7.164779503942996,8.915039674939655
Attentive CNP + PE,m2,2,107,SE,Tl-208 SE 2103 keV,6,0,2023,4.396480116519771,5.548696644019743
Attentive CNP + PE,m2,2,107,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,6.395706316180723,7.609273041318465
Attentive CNP + PE,m2,2,107,FE,Tl-208 FE 2614 keV,5,1,8709,4.142272473646555,4.664110864060888
