method,architecture_id,training_budget,training_seed,context_seed,context_size,region_id,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
CNP,m0,18866,1,107,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.456001541203176,8.338545037691848
CNP,m0,18866,1,108,500,full,Full 500-3000 keV,442,58,114299,4.645891797761668,6.345378391197569
CNP,m0,18866,1,108,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.985679428972208,10.832860278541837
CNP,m0,18866,1,108,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.107764037941768,12.71340185428515
CNP,m0,18866,1,108,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.263352738527506,5.063077051332704
CNP,m0,18866,1,108,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.920700838653024,15.397389542165245
CNP,m0,18866,1,108,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.548727107182173,5.508813458273494
CNP,m0,18866,1,108,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.006958311733688,6.508938588411817
CNP,m0,18866,1,108,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.547208693836207,8.419482091297795
CNP,m0,18866,1,109,500,full,Full 500-3000 keV,442,58,114299,4.71756731552199,6.369651961421254
CNP,m0,18866,1,109,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,7.194128368177361,11.137235870761309
CNP,m0,18866,1,109,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.318051225177877,12.49765363621388
CNP,m0,18866,1,109,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,4.096883280698503,4.9662236204604
CNP,m0,18866,1,109,500,SE,Tl-208 SE 2103 keV,6,0,2023,10.199728747302338,14.895835642569471
CNP,m0,18866,1,109,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,5.281013204124156,6.298336227823516
CNP,m0,18866,1,109,500,FE,Tl-208 FE 2614 keV,5,1,8709,6.875895016245366,7.319701080734668
CNP,m0,18866,1,109,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,7.122932751505719,8.05740024671763
CNP,m0,18866,2,100,500,full,Full 500-3000 keV,442,58,114299,5.020285269784532,6.8933739693213365
CNP,m0,18866,2,100,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.493621865147081,10.070964362984688
CNP,m0,18866,2,100,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.023979084916087,13.560703605117574
CNP,m0,18866,2,100,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.217913989898445,6.088923928835044
CNP,m0,18866,2,100,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.867674353160366,16.84867590606218
CNP,m0,18866,2,100,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.006631769344264,4.839067722725736
CNP,m0,18866,2,100,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.5425574810609053,4.253106841317514
CNP,m0,18866,2,100,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.522134492478756,9.328510356461615
CNP,m0,18866,2,101,500,full,Full 500-3000 keV,442,58,114299,5.097530827448398,6.992865844755447
CNP,m0,18866,2,101,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.49342838088358,10.003890576600323
CNP,m0,18866,2,101,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.099955960502024,13.673516105816748
CNP,m0,18866,2,101,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.34095670520248,6.235660472968725
CNP,m0,18866,2,101,500,SE,Tl-208 SE 2103 keV,6,0,2023,13.14517831947906,17.061282317565034
CNP,m0,18866,2,101,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,3.831670365026784,4.653504464558286
CNP,m0,18866,2,101,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.359927356779678,4.006461533549036
CNP,m0,18866,2,101,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.679575108631646,9.4873778547242
CNP,m0,18866,2,102,500,full,Full 500-3000 keV,442,58,114299,4.972008596339945,6.827877471586831
CNP,m0,18866,2,102,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.493616796179118,10.118962229445737
CNP,m0,18866,2,102,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,8.97263112125746,13.486069543435184
CNP,m0,18866,2,102,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.139969767250642,5.993943187083921
CNP,m0,18866,2,102,500,SE,Tl-208 SE 2103 keV,6,0,2023,12.680824802430775,16.706587973854454
CNP,m0,18866,2,102,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,4.157637535520677,4.987518955648607
CNP,m0,18866,2,102,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.7186349931159546,4.435698894358843
CNP,m0,18866,2,102,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.411762427511945,9.218851477669562
CNP,m0,18866,2,103,500,full,Full 500-3000 keV,442,58,114299,5.1823638578249405,7.097761475729633
CNP,m0,18866,2,103,500,DEP,Tl-208 DEP 1592 keV,6,0,1323,6.492199314827173,9.96478660145859
CNP,m0,18866,2,103,500,Bi-214,Bi-212 1620.74-keV feature,6,0,1361,9.145968170573372,13.744403398744206
CNP,m0,18866,2,103,500,continuum_1700_2000,Continuum 1700-2000 keV,60,0,8230,5.443072246644165,6.349227854164556
CNP,m0,18866,2,103,500,SE,Tl-208 SE 2103 keV,6,0,2023,13.397912727908178,17.25639956941075
CNP,m0,18866,2,103,500,continuum_2200_2400,Continuum 2200-2400 keV,40,0,9093,3.704052926552204,4.503101643085452
CNP,m0,18866,2,103,500,FE,Tl-208 FE 2614 keV,5,1,8709,3.117623656865789,3.692939862189662
CNP,m0,18866,2,103,500,sparse_tail,Sparse tail 2700-3000 keV,13,47,68,8.987669458501186,9.796277043757105
