subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,region,threshold_k,coverage_percent_mean,mean_context_sd_within_seed_pp,initialization_sd_across_seed_means_pp,cell_count
original_n5000,original,5k,5000,4984,Attentive CNP + PE,m2,feature_1620_pm5,3,78.33333333333333,15.811388300841898,20.207259421636902,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,overall_500_3000,1,47.57918552036199,1.7613585149312068,1.3028217238812676,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,overall_500_3000,2,79.50980392156862,1.2250946442029296,1.3590362964509897,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,overall_500_3000,3,93.41628959276018,1.103297759648455,0.11312217194570451,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,FE_2614_pm5,1,11.666666666666666,8.050764858994134,20.207259421636902,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,FE_2614_pm5,2,13.333333333333334,7.027283689263065,23.09401076758503,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,FE_2614_pm5,3,23.333333333333332,16.519605395456512,36.17089069035118,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,SE_2103_pm5,1,8.333333333333334,8.784104611578831,14.433756729740644,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,SE_2103_pm5,2,16.666666666666668,0.0,28.867513459481287,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,SE_2103_pm5,3,76.66666666666667,8.606629658238704,25.16611478423583,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,DEP_1592_pm5,1,40.0,8.606629658238704,17.320508075688775,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,DEP_1592_pm5,2,100.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,DEP_1592_pm5,3,100.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,feature_1620_pm5,1,21.666666666666668,8.050764858994134,25.65800719723442,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,feature_1620_pm5,2,50.0,0.0,0.0,30
original_n5000,original,5k,5000,4984,Density-guided CNP,ours,feature_1620_pm5,3,50.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,overall_500_3000,1,51.41025641025641,0.43441188828062244,1.108443366665876,30
original_n10000,original,10k,10000,9980,CNP,m0,overall_500_3000,2,82.18702865761689,0.9427437937340071,0.7318343012946125,30
original_n10000,original,10k,10000,9980,CNP,m0,overall_500_3000,3,92.82805429864253,0.2544278206671769,0.28884944196387174,30
original_n10000,original,10k,10000,9980,CNP,m0,FE_2614_pm5,1,28.333333333333332,8.050764858994134,25.658007197234422,30
original_n10000,original,10k,10000,9980,CNP,m0,FE_2614_pm5,2,36.666666666666664,7.027283689263065,32.145502536643185,30
original_n10000,original,10k,10000,9980,CNP,m0,FE_2614_pm5,3,51.666666666666664,15.078048548257199,46.45786621588784,30
original_n10000,original,10k,10000,9980,CNP,m0,SE_2103_pm5,1,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,SE_2103_pm5,2,0.0,0.0,0.0,30
original_n10000,original,10k,10000,9980,CNP,m0,SE_2103_pm5,3,0.0,0.0,0.0,30
