energy_kev,grid_spacing_kev,illustrative__original_n5000__m0,illustrative__original_n5000__m1,illustrative__original_n5000__m2,illustrative__original_n5000__ours,illustrative__context_only__kernel_context_only,illustrative__full_n18866_plus_context__kernel_pooled_data,illustrative__context_only__bernoulli_gp_matern32
618.0,1.0,0.3825412595272064,0.37469467282295227,0.3954227739572525,0.3984382325410843,0.35100632905960083,0.3541446030139923,0.5034910653233835
619.0,1.0,0.3843820482492447,0.37009121119976046,0.3440025310218334,0.3994556456804276,0.35063374042510986,0.35866042971611023,0.5150726708641855
620.0,1.0,0.379380105137825,0.36587947845458985,0.3543861003220081,0.39854604423046114,0.35025718808174133,0.3632902503013611,0.5261100442659128
621.0,1.0,0.3859172248840332,0.36017958402633665,0.3483881270885468,0.40010475993156436,0.34987661242485046,0.3680121600627899,0.5365116515334591
622.0,1.0,0.3855545312166214,0.3785118907690048,0.2065844528377056,0.40061805248260496,0.34949198365211487,0.37280169129371643,0.5461843585619022
623.0,1.0,0.3849874579906464,0.37011943459510804,0.15768616180866957,0.4019791275262833,0.34910330176353455,0.3776320517063141,0.5550326515759991
624.0,1.0,0.3868584775924683,0.370025098323822,0.1856503377854824,0.3999208652973175,0.3487105369567871,0.38247454166412354,0.5629583234984636
625.0,1.0,0.3881566858291626,0.3736269044876099,0.25325995579361915,0.39390460908412933,0.3483136296272278,0.38729920983314514,0.5698797610211699
626.0,1.0,0.3796092385053635,0.38282877564430234,0.24779695481061936,0.3954572880268097,0.3479125499725342,0.3920753300189972,0.5757423505089889
627.0,1.0,0.3880732995271683,0.3666790646314621,0.3138498929142952,0.3950216466188431,0.3475073277950287,0.39677223563194275,0.5805540854995854
628.0,1.0,0.3873670542240143,0.37903179705142975,0.38611640989780427,0.40182915031909944,0.34709787368774414,0.40135982632637024,0.5843754927983014
629.0,1.0,0.39147496163845064,0.38150526642799376,0.4055253612995148,0.3897471684217453,0.34668418765068054,0.40580934286117554,0.5872618370581222
630.0,1.0,0.3867068541049957,0.3772612851858139,0.37569369703531263,0.3988898158073425,0.3462662398815155,0.41009393334388733,0.589259179828332
631.0,1.0,0.3833857351541519,0.381188867688179,0.26802962318062784,0.39843072056770323,0.34584400057792664,0.4141892194747925,0.590404520589658
632.0,1.0,0.38541493654251097,0.3731794816255569,0.24895685464143752,0.40508689045906066,0.34541746973991394,0.4180738031864166,0.5907341086708868
633.0,1.0,0.3875341987609863,0.37679856181144716,0.2726169577240944,0.40060703992843627,0.34498658776283264,0.4217294454574585,0.5903201604143931
634.0,1.0,0.3882003057003021,0.3654577487707138,0.33258176922798155,0.39319787323474886,0.3445513844490051,0.4251413941383362,0.5892610886647276
635.0,1.0,0.38799432933330535,0.3816515839099884,0.30120735615491867,0.39865286827087404,0.3441118001937866,0.4282984137535095,0.5876512822462132
636.0,1.0,0.3934699857234955,0.37508346915245055,0.26620271980762483,0.397607581615448,0.34366780519485474,0.4311927556991577,0.5855585035054105
637.0,1.0,0.39093014180660246,0.371971480846405,0.24328325912356377,0.4061245024204254,0.3432193994522095,0.43382009863853455,0.5830077078281874
638.0,1.0,0.3903711134195328,0.3745651036500931,0.31300539314746856,0.3972920995950699,0.34276655316352844,0.43617919087409973,0.5800331355633546
639.0,1.0,0.3864417916536331,0.3777384328842163,0.42147091329097747,0.3991160213947296,0.34230926632881165,0.4382716715335846,0.576689649538082
640.0,1.0,0.3876763081550598,0.38484258711338043,0.4820403191447258,0.4095428252220154,0.3418475091457367,0.4401017427444458,0.5730300502409307
