subset_id,ordering_id,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,training_seed,context_seed,context_size,peak_mae_percentage_points,continuum_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,104,500,8.337251616480412,4.96432098860719,14.679478066916078,0.2322456393411691,0.20970951185097844,1.3511189669370651,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,105,500,8.394114847291693,4.937730516079047,14.891103926776555,0.2322591443549072,0.2096943391233908,1.2576961903832853,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s105-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,106,500,8.359093427546265,4.96279269135492,14.797233690365113,0.2322399586533741,0.20968385738828102,1.286283461842686,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s106-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,107,500,8.365382483040198,4.951329706273559,14.773730326774992,0.23226636634512068,0.20971676223986563,1.3488301429897547,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s107-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,108,500,8.33480723746216,4.981028983931353,14.709623308317573,0.23224068884602614,0.209723656245036,1.1164541728794575,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s108-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,0,109,500,8.377719730338354,4.942483945833474,14.773296548137374,0.23229916260937972,0.20975409856179153,1.2289383308961987,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed0-final-ctx-s109-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,100,500,7.472068317964572,5.822273409903362,11.749795958375806,0.2323155048704242,0.20754825474116978,1.259521345142275,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s100-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,101,500,7.516430574148053,5.901616717322013,11.222942414258746,0.23227698299902982,0.20741566942703468,1.1325701009482145,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s101-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,102,500,7.498787262790807,5.88974707290174,11.60148554041695,0.23225632575781432,0.20754994767853843,0.9249104908667505,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s102-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,103,500,7.443607312092869,5.774544683729438,12.434851066648427,0.23242884969729233,0.20767087549248525,1.4302692292258143,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s103-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,104,500,7.467372341379189,5.8256065200056035,12.1420856121061,0.23235053328099245,0.20762703944625957,1.5299646859057248,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s104-n500-drop10100-mc50
seed20260911_n5000,seed20260911,5000,4980,Attentive CNP,m1,1,105,500,7.434122372135955,5.784741047996705,12.689738691347438,0.23239693285186133,0.20779644689188628,1.2312280959449708,821.62744140625,20260909-phase3-seed20260911_n5000-m1-seed1-final-ctx-s105-n500-drop10100-mc50
