method,architecture_id,training_budget,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP + PE,m2,2000,0,102,500,phase2_new_evaluation,13.140136230749228,17.19907211283473,25.75227196341038,0.2857785855359973,0.26125453785568203,0.3338486962020397,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s102-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,103,500,phase2_new_evaluation,12.63180729324829,17.385663445226317,29.708711268708605,0.28681079703806855,0.2648510984790551,0.33645877009257674,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s103-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,104,500,phase2_new_evaluation,12.474236244397147,16.806017244247005,26.882726600419648,0.2846748322427775,0.2603355374776994,0.33450640505179763,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s104-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,105,500,phase2_new_evaluation,12.51744264343618,17.205426275122168,29.119072554706925,0.285717237022507,0.26454952693789696,0.33464477583765984,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s105-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,106,500,phase2_new_evaluation,12.752572897726719,17.03814841011912,26.51952079465316,0.2852267492439821,0.26051172488496716,0.3414226397871971,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s106-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,107,500,phase2_new_evaluation,12.868848619096129,17.452910630507578,28.355140271260492,0.2876225337066387,0.26560227036568934,0.3387047522701323,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s107-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,108,500,phase2_new_evaluation,12.795759941983679,17.24791015019868,27.12003009202736,0.28614667634190893,0.26270295517485265,0.35353521862998605,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s108-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,0,109,500,phase2_new_evaluation,12.594208714127866,17.003473564174428,26.010367859583734,0.28475547524691847,0.2603644236636471,0.35110904462635517,821.63671875,20260909-phase2-b2000-m2-seed0-final-ctx-s109-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,100,500,phase2_new_evaluation,17.255329586136902,16.051828992759127,25.30481104595449,0.2793066416094528,0.25856855448236044,0.3365348940715194,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s100-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,101,500,phase2_new_evaluation,17.0218501375419,17.361122941959913,25.408846244887464,0.283657310295902,0.26333506273834784,0.34251767862588167,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s101-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,102,500,phase2_new_evaluation,16.986073459499252,16.914858711957436,26.255330788821794,0.28326079468907345,0.2636988712043642,0.33476502588018775,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s102-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,103,500,phase2_new_evaluation,16.51123795311599,15.941669225582666,28.352370950149584,0.28151391025649214,0.2628487894822231,0.332272884901613,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s103-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,104,500,phase2_new_evaluation,17.109531094328144,15.79690803803241,26.49813592973364,0.28010187938583425,0.26033241921588907,0.3337719412520528,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s104-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,105,500,phase2_new_evaluation,16.350071605482206,15.53355878762316,28.436306993946104,0.28027360699194803,0.262142222284177,0.33822305919602513,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s105-n500-drop10100-mc50
Attentive CNP + PE,m2,2000,1,106,500,phase2_new_evaluation,17.196003496383554,16.496229608535902,26.34800712304549,0.28238892473179,0.26273160239276033,0.33558581303805113,821.63671875,20260909-phase2-b2000-m2-seed1-final-ctx-s106-n500-drop10100-mc50
