method,architecture_id,context_size,training_seed,overlapping_context_draw_count,peak_region_mean_mae_percentage_points_context_mean,peak_region_mean_mae_percentage_points_context_sd,peak_region_mean_mae_percentage_points_context_range,continuum_region_mean_mae_percentage_points_context_mean,continuum_region_mean_mae_percentage_points_context_sd,continuum_region_mean_mae_percentage_points_context_range,sparse_tail_mae_percentage_points_context_mean,sparse_tail_mae_percentage_points_context_sd,sparse_tail_mae_percentage_points_context_range,global_brier_context_mean,global_brier_context_sd,global_brier_context_range,equal_region_brier_context_mean,equal_region_brier_context_sd,equal_region_brier_context_range
Density-guided CNP (ours),ours,1000,0,10,3.983063832392472,0.3127206616295177,1.017846689445093,4.166295445415282,0.0691126252500157,0.2396620160833569,12.247808736915786,4.417818708594586,15.13384476270727,0.2238668718582976,7.553973143441196e-05,0.0002321814197791261,0.19036246788175898,0.0020539510339670224,0.007348474423416712
Density-guided CNP (ours),ours,2000,0,10,3.845793262941958,0.15155705720380508,0.38471051763095865,4.1486607907873925,0.02617146162238865,0.07481345040394594,10.65371728330555,0.7985590422742705,3.0374100187283872,0.223810662164522,3.451250868301266e-05,9.925685500111747e-05,0.18964054165163846,0.00036574099996921743,0.0010235583027642103
Density-guided CNP (ours),ours,250,1,10,3.5562142250138775,0.3158642033083893,0.939124858182887,3.928940396851229,0.1005911728789286,0.3541755686872574,15.815199036827845,4.230393859413769,12.264640513508777,0.22348637955934464,8.17599010986639e-05,0.0002806005021243063,0.19134972486277946,0.002217276697879188,0.006742514372090613
Density-guided CNP (ours),ours,500,1,10,3.411884476705609,0.14283622949085045,0.3433021398906191,3.9466249773565556,0.05123331360234624,0.16940399137526452,15.750140765732445,5.117874323982153,14.355136711247955,0.22344116699637553,7.467867271667642e-05,0.000237195123097389,0.19167856527135502,0.0024227959007695338,0.0073498091580002645
Density-guided CNP (ours),ours,1000,1,10,3.376166346282197,0.12099056953941176,0.3721116550735335,3.9504825606427127,0.04197134875927416,0.13718359811869263,15.051628882877031,4.279931033360643,12.419870942378964,0.22341812859218893,6.499338216854706e-05,0.00017466684178238379,0.19133630447289085,0.001970986816214451,0.0067417569962509305
Density-guided CNP (ours),ours,2000,1,10,3.336034177875289,0.05720506394752143,0.18493185542242108,3.955843035078174,0.01359740071462217,0.04296348836727004,12.893719891498932,1.293449605483017,4.508593696796671,0.22340200745152758,3.471166594074069e-05,9.195020522720365e-05,0.190624683622032,0.0006032482960602297,0.0017608113546131732
Density-guided CNP (ours),ours,250,2,10,3.400556441536544,0.31579483935423186,1.040584819818331,4.114824702338689,0.12147038789418789,0.42532257641725213,16.262526275400482,4.554114810760136,13.610290619192561,0.22374357507684203,5.5996976540860305e-05,0.00018059846848403338,0.19155643647776405,0.0024445021820953304,0.0077283103946517995
Density-guided CNP (ours),ours,500,2,10,3.3212745751146775,0.1079131407151702,0.35227289788929417,4.129111070148312,0.05499784517455608,0.18214026702709596,15.911815004975761,5.874449730275487,15.306778748962099,0.22372533004078562,3.5704838042274006e-05,0.00011802259180310193,0.1919119355187172,0.0026974570208441336,0.007739043877466545
Density-guided CNP (ours),ours,1000,2,10,3.3439311210456175,0.14656464827118484,0.4805440328064656,4.135380465665996,0.04830482147518161,0.16819585125374115,14.529515110294557,4.980656545026443,14.731136838812589,0.22372162262806125,2.167456722704883e-05,7.52782723828227e-05,0.1914419211214452,0.0022352066232374694,0.007604417596102142
Density-guided CNP (ours),ours,2000,2,10,3.2582070092934323,0.014701479942342062,0.04810619656238835,4.141065815606039,0.014415572747843844,0.04209866613595992,12.247134976991394,0.9781809402366333,3.5729762820107727,0.2237252509641671,9.490108355823697e-06,3.2380209090021594e-05,0.19056478141992622,0.0005158094407783476,0.0014815695315975874
