method,architecture_id,context_size,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_training_seed,mc_passes_per_cell
CNP,m0,500,701.0,0.44753117718299223,0.016661965358977085,0.0023689530807520193,3,10,50
CNP,m0,500,702.0,0.44651138707002014,0.013974827814005322,0.0023935586108966398,3,10,50
CNP,m0,500,703.0,0.45052498316764833,0.015249042040885624,0.002371482338042235,3,10,50
CNP,m0,500,704.0,0.44219806357224783,0.01384652481133241,0.0023577518774256785,3,10,50
CNP,m0,500,705.0,0.44432164462407436,0.011856155645111445,0.002483799844325513,3,10,50
CNP,m0,500,706.0,0.4466139052708944,0.017218337738490325,0.0024291564998129666,3,10,50
CNP,m0,500,707.0,0.45014040005207057,0.018380870575605144,0.0022176354236687758,3,10,50
CNP,m0,500,708.0,0.44544559339682266,0.01389859858846137,0.0024096731692978754,3,10,50
CNP,m0,500,709.0,0.4427055455247561,0.01443777965209801,0.0023843007297238493,3,10,50
CNP,m0,500,710.0,0.4451064940094948,0.016148098324422714,0.002409025688029348,3,10,50
CNP,m0,500,711.0,0.4487768951853117,0.016305002835004974,0.0024012184620340066,3,10,50
CNP,m0,500,712.0,0.44874584384759264,0.011969589732195774,0.0023444059783251903,3,10,50
CNP,m0,500,713.0,0.4500573202371596,0.019257435827482024,0.0023535820478460087,3,10,50
CNP,m0,500,714.0,0.44859504761298497,0.0160123997797986,0.002327479016102555,3,10,50
CNP,m0,500,715.0,0.44885387567679086,0.01762933407335412,0.002349533522995863,3,10,50
CNP,m0,500,716.0,0.45100514161586763,0.01619321667588358,0.0023654293314381695,3,10,50
CNP,m0,500,717.0,0.4511282877524694,0.017911174520521416,0.002368703067382694,3,10,50
CNP,m0,500,718.0,0.4491591336131096,0.01220165938948088,0.0023961018417878546,3,10,50
CNP,m0,500,719.0,0.44814672758181895,0.020515811711062357,0.002268961741459543,3,10,50
CNP,m0,500,720.0,0.4484132916529973,0.01809505044778785,0.0022984457145472353,3,10,50
CNP,m0,500,721.0,0.4509517770409584,0.014398023804979973,0.0023493929054723525,3,10,50
CNP,m0,500,722.0,0.44816515300671256,0.01601866689050987,0.0023124462016829673,3,10,50
CNP,m0,500,723.0,0.45053531720240914,0.013684577352667005,0.0024033746019137873,3,10,50
CNP,m0,500,724.0,0.4509284862081209,0.016486934044395198,0.002418689218038885,3,10,50
CNP,m0,500,725.0,0.45235931336879726,0.016231188437466938,0.0024218793953250765,3,10,50
CNP,m0,500,726.0,0.4550595768491427,0.018222328906179006,0.002334627628816917,3,10,50
CNP,m0,500,727.0,0.4518540483514468,0.013004804077108533,0.002372150717883917,3,10,50
CNP,m0,500,728.0,0.4531223067045212,0.01731551828362894,0.00234656388295873,3,10,50
CNP,m0,500,729.0,0.4540481543739638,0.015860046467317652,0.002332172589941528,3,10,50
