model,model_id,training_seed,context_seed,dropout_seed,region,n_events,brier,log_loss
Cell 15 v5,v5,0,108,10100,full,2074,0.2258089614200715,0.6441781751338111
Cell 15 v5,v5,0,108,10100,Bi-214,21,0.280454728295011,0.7856574483882278
Cell 15 v5,v5,0,108,10100,continuum_1700_2000,154,0.25068439075520693,0.6945216746449829
Cell 15 v5,v5,0,108,10100,SE,36,0.2052287393290839,0.6035412729614748
Cell 15 v5,v5,0,108,10100,continuum_2200_2400,152,0.25094514269543183,0.6950872554407053
Cell 15 v5,v5,0,108,10100,FE,167,0.1859805862416323,0.562695353953474
Cell 15 v5,v5,0,108,10100,equal_region_mean,,0.23465871746327321,
Cell 15 v5,v5,0,109,10100,full,2074,0.22579594982472362,0.6441232206822957
Cell 15 v5,v5,0,109,10100,Bi-214,21,0.28054106972553694,0.7859023641309086
Cell 15 v5,v5,0,109,10100,continuum_1700_2000,154,0.25060248380058886,0.69435747762893
Cell 15 v5,v5,0,109,10100,SE,36,0.2050670184497548,0.6032718930843495
Cell 15 v5,v5,0,109,10100,continuum_2200_2400,152,0.25095638011577637,0.6951097581097454
Cell 15 v5,v5,0,109,10100,FE,167,0.1859499956940623,0.5626132973623924
Cell 15 v5,v5,0,109,10100,equal_region_mean,,0.23462338955714385,
Cell 17,cell17,0,100,10100,full,2074,0.22562319286813629,0.6438495788753521
Cell 17,cell17,0,100,10100,Bi-214,21,0.28205253626920507,0.7895827126310263
Cell 17,cell17,0,100,10100,continuum_1700_2000,154,0.24914827357421165,0.6914452507084835
Cell 17,cell17,0,100,10100,SE,36,0.2004300987604296,0.5919484485931052
Cell 17,cell17,0,100,10100,continuum_2200_2400,152,0.2512823318842936,0.6957154876260007
Cell 17,cell17,0,100,10100,FE,167,0.18749451143989762,0.567613178692886
Cell 17,cell17,0,100,10100,equal_region_mean,,0.23408155038560752,
Cell 17,cell17,0,101,10100,full,2074,0.2255834382327517,0.6437938150331289
Cell 17,cell17,0,101,10100,Bi-214,21,0.2823645662504517,0.7906471148890484
Cell 17,cell17,0,101,10100,continuum_1700_2000,154,0.24912057274785784,0.6913896259856207
Cell 17,cell17,0,101,10100,SE,36,0.20042249736465254,0.5919611679669754
Cell 17,cell17,0,101,10100,continuum_2200_2400,152,0.25127717560534824,0.6957056869429662
Cell 17,cell17,0,101,10100,FE,167,0.1879819166232967,0.5695759067232461
Cell 17,cell17,0,101,10100,equal_region_mean,,0.23423334571832138,
Cell 17,cell17,0,102,10100,full,2074,0.22564935275907788,0.6440108800701837
Cell 17,cell17,0,102,10100,Bi-214,21,0.2823873745818854,0.7907748039288081
Cell 17,cell17,0,102,10100,continuum_1700_2000,154,0.24912248931393002,0.6913935703880627
Cell 17,cell17,0,102,10100,SE,36,0.2004261868130783,0.5920386807285439
Cell 17,cell17,0,102,10100,continuum_2200_2400,152,0.2512145538683834,0.6955807148257717
Cell 17,cell17,0,102,10100,FE,167,0.1881731884403852,0.5703159129638701
