variant,method,context_size,energy_kev,mean_across_contexts,sd_across_overlapping_contexts
context_only,Gaussian kernel regression (context only),500,770.0,0.3518537163734436,0.048143580472793046
context_only,Gaussian kernel regression (context only),500,771.0,0.35196131765842437,0.04828392906850191
context_only,Gaussian kernel regression (context only),500,772.0,0.3520712167024612,0.04842287567737754
context_only,Gaussian kernel regression (context only),500,773.0,0.3521834671497345,0.04856034950885243
context_only,Gaussian kernel regression (context only),500,774.0,0.3522981286048889,0.04869629753432402
context_only,Gaussian kernel regression (context only),500,775.0,0.3524152487516403,0.04883065483236163
context_only,Gaussian kernel regression (context only),500,776.0,0.3525348871946335,0.04896337728392696
context_only,Gaussian kernel regression (context only),500,777.0,0.35265707075595853,0.049094395714340225
context_only,Gaussian kernel regression (context only),500,778.0,0.3527818709611893,0.04922366978657078
context_only,Gaussian kernel regression (context only),500,779.0,0.35290933549404147,0.04935114882731671
context_only,Gaussian kernel regression (context only),500,780.0,0.35303951501846315,0.04947676751631815
context_only,Gaussian kernel regression (context only),500,781.0,0.3531724512577057,0.04960049577191002
context_only,Gaussian kernel regression (context only),500,782.0,0.35330821573734283,0.04972227440142344
context_only,Gaussian kernel regression (context only),500,783.0,0.35344683825969697,0.04984206691155958
context_only,Gaussian kernel regression (context only),500,784.0,0.3535883814096451,0.04995982340742075
context_only,Gaussian kernel regression (context only),500,785.0,0.3537328869104385,0.05007550612797972
context_only,Gaussian kernel regression (context only),500,786.0,0.35388041436672213,0.05018908560046232
context_only,Gaussian kernel regression (context only),500,787.0,0.3540310084819794,0.05030049811769865
context_only,Gaussian kernel regression (context only),500,788.0,0.3541847229003906,0.050409736147591505
context_only,Gaussian kernel regression (context only),500,789.0,0.3543415993452072,0.05051674045167198
context_only,Gaussian kernel regression (context only),500,790.0,0.3545016884803772,0.05062149243425916
context_only,Gaussian kernel regression (context only),500,791.0,0.3546650469303131,0.05072396061069106
context_only,Gaussian kernel regression (context only),500,792.0,0.3548317104578018,0.05082410797390124
context_only,Gaussian kernel regression (context only),500,793.0,0.35500173568725585,0.05092191733574431
context_only,Gaussian kernel regression (context only),500,794.0,0.35517517030239104,0.05101734705358008
context_only,Gaussian kernel regression (context only),500,795.0,0.355352059006691,0.051110400741825504
context_only,Gaussian kernel regression (context only),500,796.0,0.3555324524641037,0.051201020204511186
context_only,Gaussian kernel regression (context only),500,797.0,0.3557163864374161,0.05128921497748939
context_only,Gaussian kernel regression (context only),500,798.0,0.35590391755104067,0.05137495765962497
context_only,Gaussian kernel regression (context only),500,799.0,0.3560950934886932,0.05145822535882182
context_only,Gaussian kernel regression (context only),500,800.0,0.3562899589538574,0.05153900908418993
context_only,Gaussian kernel regression (context only),500,801.0,0.3564885437488556,0.05161729007389766
context_only,Gaussian kernel regression (context only),500,802.0,0.35669090449810026,0.05169306247532479
context_only,Gaussian kernel regression (context only),500,803.0,0.3568970859050751,0.05176632167228177
context_only,Gaussian kernel regression (context only),500,804.0,0.35710711777210236,0.05183704178667283
context_only,Gaussian kernel regression (context only),500,805.0,0.3573210597038269,0.05190523579922841
context_only,Gaussian kernel regression (context only),500,806.0,0.3575389444828033,0.05197088924571075
context_only,Gaussian kernel regression (context only),500,807.0,0.35776081383228303,0.05203399963330328
context_only,Gaussian kernel regression (context only),500,808.0,0.35798671245574953,0.05209456825148731
context_only,Gaussian kernel regression (context only),500,809.0,0.3582166790962219,0.05215260031744742
context_only,Gaussian kernel regression (context only),500,810.0,0.35845074355602263,0.052208089828408355
context_only,Gaussian kernel regression (context only),500,811.0,0.3586889564990997,0.052261046153986065
context_only,Gaussian kernel regression (context only),500,812.0,0.35893135964870454,0.05231146860633055
context_only,Gaussian kernel regression (context only),500,813.0,0.35917797684669495,0.05235936960645733
context_only,Gaussian kernel regression (context only),500,814.0,0.359428858757019,0.05240475610889779
context_only,Gaussian kernel regression (context only),500,815.0,0.35968402922153475,0.0524476422865693
context_only,Gaussian kernel regression (context only),500,816.0,0.3599435329437256,0.05248803652855288
context_only,Gaussian kernel regression (context only),500,817.0,0.36020740270614626,0.0525259511878782
context_only,Gaussian kernel regression (context only),500,818.0,0.36047567129135133,0.052561401490231745
context_only,Gaussian kernel regression (context only),500,819.0,0.36074837744235994,0.05259441241743186
context_only,Gaussian kernel regression (context only),500,820.0,0.3610255479812622,0.05262497772785281
context_only,Gaussian kernel regression (context only),500,821.0,0.3613072156906128,0.0526531442729246
context_only,Gaussian kernel regression (context only),500,822.0,0.3615934163331985,0.05267891221322567
context_only,Gaussian kernel regression (context only),500,823.0,0.3618841826915741,0.05270231053557127
context_only,Gaussian kernel regression (context only),500,824.0,0.3621795326471329,0.05272336374213302
context_only,Gaussian kernel regression (context only),500,825.0,0.36247951090335845,0.05274209922606824
context_only,Gaussian kernel regression (context only),500,826.0,0.3627841383218765,0.0527585459968601
context_only,Gaussian kernel regression (context only),500,827.0,0.3630934417247772,0.05277271317343398
context_only,Gaussian kernel regression (context only),500,828.0,0.36340745389461515,0.052784637871479904
context_only,Gaussian kernel regression (context only),500,829.0,0.36372619569301606,0.05279435465844603
