method,architecture_id,training_seed,context_seed,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
Density-guided CNP (ours),cell17,0,105,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-23.986799949655534,1.5603583834828183
Density-guided CNP (ours),cell17,0,105,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.27044947568191,5.202698784713286
Density-guided CNP (ours),cell17,0,105,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.16859554566285295,2.3150170493445947
Density-guided CNP (ours),cell17,0,106,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.507459968031217,1.511197369966455
Density-guided CNP (ours),cell17,0,106,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-23.9175135515193,1.6296447816190551
Density-guided CNP (ours),cell17,0,106,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.282822242207722,5.190326018187474
Density-guided CNP (ours),cell17,0,106,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.18296416032101137,2.3006484346864364
Density-guided CNP (ours),cell17,0,107,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.44970219673481,1.5689551412628622
Density-guided CNP (ours),cell17,0,107,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-24.009291695781986,1.5378666373563665
Density-guided CNP (ours),cell17,0,107,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.301823137109988,5.171325123285212
Density-guided CNP (ours),cell17,0,107,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4272900583130873,2.0563225366943607
Density-guided CNP (ours),cell17,0,108,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.36774575069683,1.6509115873008406
Density-guided CNP (ours),cell17,0,108,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-24.176260932631134,1.3708974005072205
Density-guided CNP (ours),cell17,0,108,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.323364287523415,5.1497839728717825
Density-guided CNP (ours),cell17,0,108,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.47177663293803407,2.011835962069414
Density-guided CNP (ours),cell17,0,109,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,19.47283574129487,1.545821596702801
Density-guided CNP (ours),cell17,0,109,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-23.991983006637646,1.5551753265007073
Density-guided CNP (ours),cell17,0,109,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-23.308989255134378,5.164159005260821
Density-guided CNP (ours),cell17,0,109,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.24246972349901974,2.241142871508428
Density-guided CNP (ours),cell17,1,100,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.111658171373456,2.9069991666242134
Density-guided CNP (ours),cell17,1,100,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.86894624154652,4.678212091591832
Density-guided CNP (ours),cell17,1,100,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.169829762683726,4.303318497711473
Density-guided CNP (ours),cell17,1,100,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,3.0081407418007133,5.491753336808161
Density-guided CNP (ours),cell17,1,101,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.222380006470807,2.796277331526864
Density-guided CNP (ours),cell17,1,101,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-20.685380307650114,4.861778025488239
Density-guided CNP (ours),cell17,1,101,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-24.479411622363067,3.9937366380321304
Density-guided CNP (ours),cell17,1,101,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,2.3571999196881577,4.840812514695606
Density-guided CNP (ours),cell17,1,102,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,18.12343422882168,2.895223109175993
