subset_id,ordering_id,budget_label,training_budget_nominal_events,training_budget_sampling_eligible_events,method,architecture_id,comparison_role,scope,histogram_bin,pull_lower,pull_upper,count,total_cell_bin_observations,cell_count
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,7,-6.5,-6.0,200,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,8,-6.0,-5.5,230,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,9,-5.5,-5.0,313,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,10,-5.0,-4.5,317,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,11,-4.5,-4.0,359,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,12,-4.0,-3.5,392,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,13,-3.5,-3.0,428,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,14,-3.0,-2.5,413,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,15,-2.5,-2.0,368,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,16,-2.0,-1.5,445,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,17,-1.5,-1.0,448,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,18,-1.0,-0.5,511,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,19,-0.5,0.0,504,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,20,0.0,0.5,499,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,21,0.5,1.0,430,13260,30
original_n2000,original,2k,2000,1895,Attentive CNP + PE,m2,matched_neural,full_500_3000,22,1.0,1.5,407,13260,30
