variant,method,context_size,context_seed,region,valid_bin_count,excluded_bin_count,events_in_valid_bins,mae_percentage_points,rmse_percentage_points
context_only,Gaussian kernel regression (context only),1000,103,Bi-214,6,0,1361,9.313821656767741,12.500506927535959
context_only,Gaussian kernel regression (context only),1000,103,continuum_1700_2000,60,0,8230,6.95775802777216,8.396381608813929
context_only,Gaussian kernel regression (context only),1000,103,SE,6,0,2023,13.134330081148757,17.026110063342976
context_only,Gaussian kernel regression (context only),1000,103,continuum_2200_2400,40,0,9093,3.6856319042270673,4.566047166752736
context_only,Gaussian kernel regression (context only),1000,103,FE,5,1,8709,3.838854242322874,4.648869802987692
context_only,Gaussian kernel regression (context only),1000,103,sparse_tail,13,47,68,22.42604981660258,23.649874830574337
context_only,Gaussian kernel regression (context only),1000,104,full,442,58,114299,8.376941957472804,10.490870450299884
context_only,Gaussian kernel regression (context only),1000,104,DEP,6,0,1323,12.390843378667963,12.95456874565907
context_only,Gaussian kernel regression (context only),1000,104,Bi-214,6,0,1361,16.645991988215453,20.436277013892663
context_only,Gaussian kernel regression (context only),1000,104,continuum_1700_2000,60,0,8230,5.285539259129579,6.241406468912726
context_only,Gaussian kernel regression (context only),1000,104,SE,6,0,2023,8.34510313337537,12.225028719915267
context_only,Gaussian kernel regression (context only),1000,104,continuum_2200_2400,40,0,9093,7.616500040597838,8.319115279397774
context_only,Gaussian kernel regression (context only),1000,104,FE,5,1,8709,2.305150107063391,2.6035244605137957
context_only,Gaussian kernel regression (context only),1000,104,sparse_tail,13,47,68,16.898651356996965,17.847745454273657
context_only,Gaussian kernel regression (context only),1000,105,full,442,58,114299,6.480313141766861,8.887410574906138
context_only,Gaussian kernel regression (context only),1000,105,DEP,6,0,1323,6.941908102429699,10.75857334352446
context_only,Gaussian kernel regression (context only),1000,105,Bi-214,6,0,1361,8.97672357432144,12.839009529730053
context_only,Gaussian kernel regression (context only),1000,105,continuum_1700_2000,60,0,8230,4.240659200266135,5.615751684105591
context_only,Gaussian kernel regression (context only),1000,105,SE,6,0,2023,8.592692320516582,13.018587950214162
context_only,Gaussian kernel regression (context only),1000,105,continuum_2200_2400,40,0,9093,3.9788435698417315,4.938151034144955
context_only,Gaussian kernel regression (context only),1000,105,FE,5,1,8709,5.421871662798757,6.012870441729563
context_only,Gaussian kernel regression (context only),1000,105,sparse_tail,13,47,68,26.379659667638943,27.110525438838312
context_only,Gaussian kernel regression (context only),1000,106,full,442,58,114299,5.9414043957630795,7.840035352396753
context_only,Gaussian kernel regression (context only),1000,106,DEP,6,0,1323,9.415987024757682,13.174481674608717
context_only,Gaussian kernel regression (context only),1000,106,Bi-214,6,0,1361,10.76636573714493,11.851044985412743
context_only,Gaussian kernel regression (context only),1000,106,continuum_1700_2000,60,0,8230,5.191872725559841,6.2803897737562036
context_only,Gaussian kernel regression (context only),1000,106,SE,6,0,2023,11.657088110081471,15.906187679278661
context_only,Gaussian kernel regression (context only),1000,106,continuum_2200_2400,40,0,9093,3.2261668581359384,3.9081726715397327
context_only,Gaussian kernel regression (context only),1000,106,FE,5,1,8709,2.3631522864177414,2.66275082301469
context_only,Gaussian kernel regression (context only),1000,106,sparse_tail,13,47,68,16.97156130452782,17.854829058268585
context_only,Gaussian kernel regression (context only),1000,107,full,442,58,114299,7.6585552484371835,9.43119314191144
context_only,Gaussian kernel regression (context only),1000,107,DEP,6,0,1323,6.934689965229461,9.47901182997963
context_only,Gaussian kernel regression (context only),1000,107,Bi-214,6,0,1361,11.478973158797103,16.479977914692903
context_only,Gaussian kernel regression (context only),1000,107,continuum_1700_2000,60,0,8230,7.733219801880844,8.89082097350977
context_only,Gaussian kernel regression (context only),1000,107,SE,6,0,2023,9.079563372157486,13.36397720879739
context_only,Gaussian kernel regression (context only),1000,107,continuum_2200_2400,40,0,9093,12.140147674151727,12.971025589737884
context_only,Gaussian kernel regression (context only),1000,107,FE,5,1,8709,4.241118174124218,4.969897687746152
context_only,Gaussian kernel regression (context only),1000,107,sparse_tail,13,47,68,15.747167244744226,16.625389889819367
