method,architecture_id,training_seed,context_seed,context_size,provenance,peak_region_mean_mae_percentage_points,continuum_region_mean_mae_percentage_points,sparse_tail_mae_percentage_points,global_brier,equal_region_brier,inference_seconds,peak_memory_mib,run_id
Attentive CNP + PE,m2,2,101,1000,new_evaluation,6.504760875643126,8.57973181943758,18.708830584138553,0.23031634416522823,0.2005485851592244,0.4059592382982373,1547.71435546875,20260909-m2-seed2-final-ctx-s101-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,102,1000,new_evaluation,6.329877346950323,8.387296292288793,18.875459055173856,0.23011881330755835,0.20048614734311018,0.40357779897749424,1547.71435546875,20260909-m2-seed2-final-ctx-s102-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,103,1000,new_evaluation,4.960011006547352,6.006483120830873,22.21925585494631,0.22835638326471464,0.20061821454744758,0.4060426251962781,1547.71435546875,20260909-m2-seed2-final-ctx-s103-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,104,1000,new_evaluation,4.833711976717897,6.055984095075784,22.381787995893603,0.22841730397373708,0.20090001962655624,0.4031298770569265,1547.71435546875,20260909-m2-seed2-final-ctx-s104-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,105,1000,new_evaluation,4.91876424191428,6.016831446072766,22.670313225303733,0.22839077912070666,0.2009539482861722,0.4088098439387977,1547.71435546875,20260909-m2-seed2-final-ctx-s105-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,106,1000,new_evaluation,5.265612561714859,6.68225614323405,21.214820422678685,0.2288420822933819,0.20048663681602472,0.4073313679546118,1547.71435546875,20260909-m2-seed2-final-ctx-s106-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,107,1000,new_evaluation,5.559217319354453,7.217007782937493,20.421555956610167,0.2291826515088442,0.2004311352986487,0.40507010696455836,1547.71435546875,20260909-m2-seed2-final-ctx-s107-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,108,1000,new_evaluation,5.19616714208743,6.598129664063582,21.08390324114764,0.22874460705028657,0.20031278608192485,0.4059419301338494,1547.71435546875,20260909-m2-seed2-final-ctx-s108-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,109,1000,new_evaluation,5.335019369967162,6.734037869387949,21.43441927864778,0.22889293429613072,0.20066248441528287,0.4048359910957515,1547.71435546875,20260909-m2-seed2-final-ctx-s109-n1000-drop10100-mc50
Attentive CNP + PE,m2,2,100,2000,archived_reuse,5.181101787644712,6.467963591296755,21.827013623083737,0.22865595884072787,0.20050969449489772,0.5507600088603795,2998.154296875,20260908-m2_seed2-final-ctx-s100-drop10100-mc50
Attentive CNP + PE,m2,2,101,2000,archived_reuse,5.355598473794056,6.86356110611443,21.283661393407506,0.22891537803097073,0.20046440395082227,0.5450921328738332,2998.154296875,20260908-m2_seed2-final-ctx-s101-drop10100-mc50
Attentive CNP + PE,m2,2,102,2000,archived_reuse,5.2272194967404655,6.693775901019366,21.545313520697825,0.2288180774804307,0.20054581988792214,0.5490074390545487,2998.154296875,20260908-m2_seed2-final-ctx-s102-drop10100-mc50
Attentive CNP + PE,m2,2,103,2000,archived_reuse,5.333720006320171,6.72453200146365,21.495994400295444,0.22883778839320038,0.20046317613544481,0.5499449362978339,2998.154296875,20260908-m2_seed2-final-ctx-s103-drop10100-mc50
Attentive CNP + PE,m2,2,104,2000,archived_reuse,4.789517333730763,5.959909508642254,23.017665858647756,0.2283248332458591,0.20103946201664163,0.5641341521404684,2998.154296875,20260908-m2_seed2-final-ctx-s104-drop10100-mc50
Attentive CNP + PE,m2,2,105,2000,archived_reuse,4.931754987801587,6.109281071797739,22.50354201933817,0.228410507860339,0.20071390819081186,0.5496594989672303,2998.154296875,20260908-m2_seed2-final-ctx-s105-drop10100-mc50
Attentive CNP + PE,m2,2,106,2000,archived_reuse,5.00646240732461,6.357829827370416,22.23302743020198,0.2286079252501338,0.20077166230458524,0.5521681159734726,2998.154296875,20260908-m2_seed2-final-ctx-s106-drop10100-mc50
Attentive CNP + PE,m2,2,107,2000,archived_reuse,5.306742917822434,6.780242910061859,21.337479408039545,0.22885626489002242,0.20046366238508337,0.5466006598435342,2998.154296875,20260908-m2_seed2-final-ctx-s107-drop10100-mc50
Attentive CNP + PE,m2,2,108,2000,archived_reuse,5.324538957383785,6.740663459327173,21.1331385553282,0.22881347896785384,0.200241108902368,0.5481392168439925,2998.154296875,20260908-m2_seed2-final-ctx-s108-drop10100-mc50
Attentive CNP + PE,m2,2,109,2000,archived_reuse,5.230230028000227,6.579003389438343,21.855858843977995,0.22876431280350548,0.2006373271186499,0.5483490019105375,2998.154296875,20260908-m2_seed2-final-ctx-s109-drop10100-mc50
Density-guided CNP (ours),ours,0,100,250,new_evaluation,4.456352824990614,4.046418819269844,11.04930162653497,0.22373018474860237,0.1904864637582507,10.249176335055381,6170.1044921875,20260909-ours-seed0-final-ctx-s100-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,101,250,new_evaluation,5.114841359213296,4.277532242358556,14.165605381481761,0.2240036985005867,0.1894273797468584,10.254139685072005,6170.1044921875,20260909-ours-seed0-final-ctx-s101-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,102,250,new_evaluation,3.9882337118427804,4.335046981491349,10.573906409118553,0.22379933077425115,0.18946998936020523,10.24833282129839,6170.1044921875,20260909-ours-seed0-final-ctx-s102-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,103,250,new_evaluation,4.199846943974201,4.069416761564862,9.369207166935757,0.22371140396684763,0.18890989083849768,10.24915017792955,6170.1044921875,20260909-ours-seed0-final-ctx-s103-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,104,250,new_evaluation,3.920592907834041,4.143522207455,10.06830634546308,0.223858108342346,0.189234773847827,10.256166123785079,6170.1044921875,20260909-ours-seed0-final-ctx-s104-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,105,250,new_evaluation,3.6598331437381435,4.1051256487052585,11.674379119015029,0.2237970978434705,0.19115702290397651,10.249298112932593,6170.1044921875,20260909-ours-seed0-final-ctx-s105-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,106,250,new_evaluation,3.9610975521423857,4.123032040514227,10.796209028895111,0.22388109145362833,0.18945211767339318,10.25359302200377,6170.1044921875,20260909-ours-seed0-final-ctx-s106-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,107,250,new_evaluation,3.7194367333773335,4.166216814950113,21.112223154569108,0.2238398358549194,0.19373718388043645,10.258270552847534,6170.1044921875,20260909-ours-seed0-final-ctx-s107-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,108,250,new_evaluation,4.0108189827768586,4.135505203130683,10.217591782292509,0.2236823245332808,0.18938421137922604,10.255344183184206,6170.1044921875,20260909-ours-seed0-final-ctx-s108-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,109,250,new_evaluation,3.87291254121274,4.1395845285655115,9.919199094797346,0.22418375271324592,0.18915310628748272,10.26112246280536,6170.1044921875,20260909-ours-seed0-final-ctx-s109-n250-drop10100-mc50
Density-guided CNP (ours),ours,0,100,500,pilot_reuse,3.965313218283402,4.094667482566751,14.463163596997456,0.22384908128599837,0.19108468262935127,10.322583083063364,6726.35791015625,20260909-ours-seed0-final-ctx-s100-n500-drop10100-mc50-pilot
Density-guided CNP (ours),ours,0,101,500,new_evaluation,4.4383164426260695,4.234137200385158,8.171253392119667,0.2238220928237399,0.18810138663724088,10.321472795214504,6726.35791015625,20260909-ours-seed0-final-ctx-s101-n500-drop10100-mc50
Density-guided CNP (ours),ours,0,102,500,new_evaluation,4.177201170144364,4.140741354718326,9.20665102290556,0.22387442748310377,0.1885437707369302,10.3254913832061,6726.35791015625,20260909-ours-seed0-final-ctx-s102-n500-drop10100-mc50
Density-guided CNP (ours),ours,0,103,500,new_evaluation,3.884558590599959,4.087610344338284,11.868619082066806,0.22372121630943237,0.19068980256834336,10.318664650898427,6726.35791015625,20260909-ours-seed0-final-ctx-s103-n500-drop10100-mc50
Density-guided CNP (ours),ours,0,104,500,new_evaluation,3.883335121040759,4.190030975392127,10.408049358307837,0.22386440936741114,0.18961568492802475,10.322342548053712,6726.35791015625,20260909-ours-seed0-final-ctx-s104-n500-drop10100-mc50
Density-guided CNP (ours),ours,0,105,500,new_evaluation,3.647081347872688,4.110938600734551,25.296036200095717,0.2238940285824987,0.1969163548697998,10.32760006096214,6726.35791015625,20260909-ours-seed0-final-ctx-s105-n500-drop10100-mc50
Density-guided CNP (ours),ours,0,106,500,new_evaluation,3.714076350808799,4.110669525640221,10.814945566165248,0.22389923489174257,0.18997529404257935,10.318501569330692,6726.35791015625,20260909-ours-seed0-final-ctx-s106-n500-drop10100-mc50
