method,architecture_id,energy_kev,mean_of_training_seed_context_means,sd_across_training_seed_context_means,mean_context_sd_within_training_seed,training_seed_count,context_draws_per_seed,mc_passes_per_cell
Attentive CNP + PE,m2,560.0,0.36210029031833013,0.01738837881054203,0.0033813819983989067,3,10,50
Attentive CNP + PE,m2,561.0,0.37566643857955934,0.015897767733242127,0.0034554111368958786,3,10,50
Attentive CNP + PE,m2,562.0,0.34756288083394365,0.011869094969246945,0.0035162546346038923,3,10,50
Attentive CNP + PE,m2,563.0,0.32641749709844586,0.02409473315142603,0.003219324903395073,3,10,50
Attentive CNP + PE,m2,564.0,0.32665636656681696,0.03351616778353315,0.0032207542150051918,3,10,50
Attentive CNP + PE,m2,565.0,0.3249792022903761,0.022591374044588917,0.00311530452024932,3,10,50
Attentive CNP + PE,m2,566.0,0.29927329551180204,0.024241946682152897,0.0032099528477684248,3,10,50
Attentive CNP + PE,m2,567.0,0.2779804715613524,0.009510946471120796,0.0031224423540364196,3,10,50
Attentive CNP + PE,m2,568.0,0.2860017064710458,0.009328578381505005,0.003228963585758651,3,10,50
Attentive CNP + PE,m2,569.0,0.3007110216021538,0.007296286139133043,0.003318754536828792,3,10,50
Attentive CNP + PE,m2,570.0,0.32210366869966195,0.02823384426660629,0.00326038469686088,3,10,50
Attentive CNP + PE,m2,571.0,0.32358813139796255,0.013172649824356264,0.0034936964186477563,3,10,50
Attentive CNP + PE,m2,572.0,0.3589507862230142,0.026864932510372082,0.00391274565650783,3,10,50
Attentive CNP + PE,m2,573.0,0.3816044225692749,0.029438535290926608,0.004559727349371196,3,10,50
Attentive CNP + PE,m2,574.0,0.3837835472424825,0.021509434631990454,0.004181680523768789,3,10,50
Attentive CNP + PE,m2,575.0,0.3800908822913965,0.024863606965472584,0.003622635298666929,3,10,50
Attentive CNP + PE,m2,576.0,0.40276808257897695,0.023669525048943596,0.0032781953076893734,3,10,50
Attentive CNP + PE,m2,577.0,0.40436316041151676,0.020140464289155682,0.003622271494873056,3,10,50
Attentive CNP + PE,m2,578.0,0.3794681142369906,0.017595496523580712,0.003336893677706541,3,10,50
Attentive CNP + PE,m2,579.0,0.3611586025257905,0.011066455683312052,0.0032017200940126617,3,10,50
Attentive CNP + PE,m2,580.0,0.3449830618103345,0.017889335205866295,0.002959263868446135,3,10,50
Attentive CNP + PE,m2,581.0,0.29565642049908636,0.018653446956512026,0.0028593820821618044,3,10,50
Attentive CNP + PE,m2,582.0,0.24194690219064552,0.014046294017292614,0.0022902906696159113,3,10,50
Attentive CNP + PE,m2,583.0,0.2600551537623008,0.016581449439356067,0.002736043403382313,3,10,50
Attentive CNP + PE,m2,584.0,0.2807760259211063,0.025949740084282157,0.0025788264682996957,3,10,50
Attentive CNP + PE,m2,585.0,0.3316804089943568,0.03044424993788902,0.0029984507982568124,3,10,50
Attentive CNP + PE,m2,586.0,0.3549299306670825,0.029567183768096555,0.0033698051605781858,3,10,50
Attentive CNP + PE,m2,587.0,0.35281475414832436,0.030581986558996337,0.0033843733257951716,3,10,50
Attentive CNP + PE,m2,588.0,0.35355715295672424,0.03606882677071402,0.0030681029181764143,3,10,50
Attentive CNP + PE,m2,589.0,0.35653169510761895,0.04247974721465699,0.002995799332046696,3,10,50
Attentive CNP + PE,m2,590.0,0.36091376475493114,0.05245641665470841,0.003023633803177755,3,10,50
Attentive CNP + PE,m2,591.0,0.35682797733942667,0.029462400234265253,0.003170905813767179,3,10,50
Attentive CNP + PE,m2,592.0,0.3638984554409981,0.009018577278600025,0.003603547115914607,3,10,50
Attentive CNP + PE,m2,593.0,0.38339808823664984,0.01653249707335635,0.0037650759925608062,3,10,50
Attentive CNP + PE,m2,594.0,0.3922115005254745,0.02468801274301627,0.0038249251196649744,3,10,50
Attentive CNP + PE,m2,595.0,0.4075703588525454,0.03361218504380323,0.003990215067891383,3,10,50
Attentive CNP + PE,m2,596.0,0.37684741957982376,0.03494763215729548,0.00335297120500069,3,10,50
Attentive CNP + PE,m2,597.0,0.33772320071856177,0.021805657107627933,0.002958507903061947,3,10,50
Attentive CNP + PE,m2,598.0,0.32496718479196224,0.018135674977932562,0.0034857436899316425,3,10,50
Attentive CNP + PE,m2,599.0,0.3425409637689591,0.02353193649810322,0.003760678305998171,3,10,50
Attentive CNP + PE,m2,600.0,0.37227334745725,0.031072474764750405,0.0034877243564139706,3,10,50
Attentive CNP + PE,m2,601.0,0.3656439216633638,0.0319957381147151,0.0035033120561752348,3,10,50
Attentive CNP + PE,m2,602.0,0.36952113204201065,0.019761944367472636,0.0037343467631284905,3,10,50
Attentive CNP + PE,m2,603.0,0.39342874556779855,0.010269855449097328,0.003650816127568502,3,10,50
Attentive CNP + PE,m2,604.0,0.412548586944739,0.02806506219625547,0.003397931128757791,3,10,50
Attentive CNP + PE,m2,605.0,0.4020251792669296,0.029427395627025833,0.0038719543533751286,3,10,50
Attentive CNP + PE,m2,606.0,0.368251918643713,0.022337347831160717,0.003795921154707562,3,10,50
Attentive CNP + PE,m2,607.0,0.3414882252116998,0.015928921083097954,0.003745243758418058,3,10,50
Attentive CNP + PE,m2,608.0,0.3376032297213872,0.029027888640667434,0.003326807785238114,3,10,50
Attentive CNP + PE,m2,609.0,0.378090741554896,0.02807932976429018,0.0035946990268013444,3,10,50
Attentive CNP + PE,m2,610.0,0.4044968804717064,0.03264284871268628,0.0035967580273306974,3,10,50
Attentive CNP + PE,m2,611.0,0.40232571083307267,0.01000620758684759,0.004032373987440806,3,10,50
Attentive CNP + PE,m2,612.0,0.3877455004652342,0.015385680520447429,0.003976233285136109,3,10,50
Attentive CNP + PE,m2,613.0,0.37112077655394876,0.006859441302465976,0.003664545380175646,3,10,50
Attentive CNP + PE,m2,614.0,0.35682398923238123,0.0018677921622164764,0.004259525115359936,3,10,50
Attentive CNP + PE,m2,615.0,0.37674399542808534,0.03196126101735362,0.003927108522824724,3,10,50
Attentive CNP + PE,m2,616.0,0.347556982477506,0.029184860538894467,0.003330907281438691,3,10,50
Attentive CNP + PE,m2,617.0,0.3140646076599756,0.013800903431254079,0.0032298833872180244,3,10,50
Attentive CNP + PE,m2,618.0,0.3419941575626533,0.022037868763795456,0.00323165207571535,3,10,50
Attentive CNP + PE,m2,619.0,0.3920722699364026,0.03473377086323868,0.003373158112182863,3,10,50
Attentive CNP + PE,m2,620.0,0.42123396332065255,0.04629562522166676,0.0033381016059056134,3,10,50
Attentive CNP + PE,m2,621.0,0.4037123081088066,0.02997742867895524,0.0032416607259795507,3,10,50
Attentive CNP + PE,m2,622.0,0.3877178056240081,0.021905078807035305,0.0029220284226786856,3,10,50
Attentive CNP + PE,m2,623.0,0.38003555938601496,0.03104177914001276,0.003224242937875228,3,10,50
Attentive CNP + PE,m2,624.0,0.3710634837249915,0.038649605297854744,0.0035697659428924225,3,10,50
Attentive CNP + PE,m2,625.0,0.31487749009827776,0.05437669514020585,0.0037720651953486663,3,10,50
Attentive CNP + PE,m2,626.0,0.3011021390259266,0.05208050489330704,0.003588648779732175,3,10,50
Attentive CNP + PE,m2,627.0,0.33337247555454574,0.036696465940225305,0.0038180265006969062,3,10,50
Attentive CNP + PE,m2,628.0,0.3849308007558187,0.04401916727144406,0.003705377128019513,3,10,50
Attentive CNP + PE,m2,629.0,0.41125691932439806,0.027773860359615144,0.003718758294744115,3,10,50
Attentive CNP + PE,m2,630.0,0.41078020977973934,0.020578382908639566,0.0037665304061022717,3,10,50
