method,architecture_id,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,0,104,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4151924990781958,2.068420095929252
CNP,m0,0,105,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029040668190138952,20.989616669807532
CNP,m0,0,105,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02867915127496845,25.57583748441332
CNP,m0,0,105,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02714936558640968,28.50029762598161
CNP,m0,0,105,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4148746437708073,2.0687379512366406
CNP,m0,0,106,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.02907673498067087,20.989580603017
CNP,m0,0,106,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028719404427157702,25.575877737565513
CNP,m0,0,106,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02725216864490898,28.500400429040106
CNP,m0,0,106,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4146238280206771,2.0689887669867706
CNP,m0,0,107,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029377823631315803,20.989279514366356
CNP,m0,0,107,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02877615862441063,25.575934491762766
CNP,m0,0,107,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.027590210103611845,28.50073847049881
CNP,m0,0,107,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4140760709650054,2.0695365240424426
CNP,m0,0,108,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029244295270991483,20.989413042726678
CNP,m0,0,108,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02873480431531128,25.575893137453665
CNP,m0,0,108,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02751053605585252,28.50065879645105
CNP,m0,0,108,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4141912989261254,2.0694212960813223
CNP,m0,0,109,2000,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.029185693511835087,20.989471644485835
CNP,m0,0,109,2000,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.028881760996657402,25.57604009413501
CNP,m0,0,109,2000,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.02747410354307922,28.500622363938277
CNP,m0,0,109,2000,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4154925936968007,2.068120001310647
CNP,m0,1,100,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.009503193916393649,21.028160531914065
CNP,m0,1,100,250,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.02250967588680597,25.569668009025158
CNP,m0,1,100,250,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.027861845494969728,28.445286414900227
CNP,m0,1,100,250,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.4836125950074477,-0.4581615027730551,2.025451092234393
CNP,m0,1,101,250,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0087974398097046,21.027454777807375
