method,architecture_id,training_budget,training_seed,context_seed,context_size,feature_id,feature,status,center_event_count,sideband_event_count,empirical_contrast_percentage_points,predicted_contrast_percentage_points,absolute_contrast_error_percentage_points
CNP,m0,18866,2,104,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0195831029149218,25.566741436053277
CNP,m0,18866,2,104,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0025203965796971,28.4706278638155
CNP,m0,18866,2,104,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5428695009412288,1.9407430940662191
CNP,m0,18866,2,105,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0138359453691117,21.00482139262856
CNP,m0,18866,2,105,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0197503839077684,25.56690871704612
CNP,m0,18866,2,105,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0021946206884559,28.470953639706742
CNP,m0,18866,2,105,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5398695616185389,1.943743033388909
CNP,m0,18866,2,106,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0142135793126274,21.00444375868504
CNP,m0,18866,2,106,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0201317073921569,25.56729004053051
CNP,m0,18866,2,106,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0027820751839935,28.470366185211205
CNP,m0,18866,2,106,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5483269711988092,1.9352856238086384
CNP,m0,18866,2,107,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0139036943077042,21.004753643689966
CNP,m0,18866,2,107,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0197370010974529,25.56689533423581
CNP,m0,18866,2,107,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0024421931170692,28.47070606727813
CNP,m0,18866,2,107,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.541216809537215,1.9423957854702327
CNP,m0,18866,2,108,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0141089858424203,21.00454835215525
CNP,m0,18866,2,108,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.0197414446516885,25.56689977779004
CNP,m0,18866,2,108,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0030093559889921,28.470138904406205
CNP,m0,18866,2,108,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5480119964249491,1.9356005985824989
CNP,m0,18866,2,109,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,0.0144543681010023,21.004202969896667
CNP,m0,18866,2,109,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,0.019946384658942,25.567104717797296
CNP,m0,18866,2,109,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,-0.0023012463832294,28.47084701401197
CNP,m0,18866,2,109,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.5442422150101656,1.9393703799972823
Attentive CNP,m1,18866,0,100,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0228174428362315,21.0414747808339
Attentive CNP,m1,18866,0,100,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0173476528010141,25.529810680337334
Attentive CNP,m1,18866,0,100,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0126729310590656,28.485821191454264
Attentive CNP,m1,18866,0,100,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6165143441902915,1.8670982508171563
Attentive CNP,m1,18866,0,101,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0222291971134769,21.04088653511115
Attentive CNP,m1,18866,0,101,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0211629799507395,25.52599535318761
Attentive CNP,m1,18866,0,101,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0131785098258951,28.48632677022109
Attentive CNP,m1,18866,0,101,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6068063905401766,1.8768062044672715
Attentive CNP,m1,18866,0,102,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0244366249866123,21.043093962984283
Attentive CNP,m1,18866,0,102,500,Bi-212,Bi-212 1620.74-keV feature,supported,790,541,-25.547158333138352,-0.0184482739068347,25.52871005923152
Attentive CNP,m1,18866,0,102,500,SE,Tl-208 SE 2103 keV,supported,1356,657,-28.4731482603952,0.0112577590117179,28.484406019406915
Attentive CNP,m1,18866,0,102,500,FE,Tl-208 FE 2614 keV,supported,8522,202,-2.483612595007448,-0.6109900767147736,1.8726225182926743
Attentive CNP,m1,18866,0,103,500,DEP,Tl-208 DEP 1592 keV,supported,828,464,21.01865733799767,-0.0228724423234294,21.0415297803211
