aggregation_level,left_mode,right_mode,estimand,region_id,training_seed,component_count,C1_difference_pp_left_minus_right_mean,C1_difference_pp_left_minus_right_descriptive_sd,C2_difference_pp_left_minus_right_mean,C2_difference_pp_left_minus_right_descriptive_sd,C3_difference_pp_left_minus_right_mean,C3_difference_pp_left_minus_right_descriptive_sd,weighted_MAE_difference_pp_left_minus_right_mean,weighted_MAE_difference_pp_left_minus_right_descriptive_sd,efficiency_difference_contrast_pp_left_minus_right_mean,efficiency_difference_contrast_pp_left_minus_right_descriptive_sd
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,sparse_tail_2700_3000,0,10,-8.881784197001253e-17,3.6261886214694745,12.307692307692307,6.486723405473598,9.23076923076923,11.351765959578797,-1.9200662691940498,0.2359076647609455,-4.195775956455618,0.15210060260600988
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,FE_core,0,10,-10.0,21.081851067789195,-30.0,34.96029493900505,-35.0,33.74742788552764,0.6708134121876647,2.652081649356492,-6.517743279004101,0.25634699535359273
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,SE_core,0,10,0.0,0.0,50.0,0.0,0.0,0.0,-13.2429540632542,0.04469002581002252,-12.908254267385223,0.042474731943340824
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,DEP_core,0,10,25.0,26.352313834736496,0.0,0.0,0.0,0.0,2.129878381170803,0.5308193262098738,-2.101864786690846,0.5329251203826886
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,feature_1620_core,0,10,0.0,0.0,0.0,0.0,0.0,0.0,-1.7425728548176758,0.5447180941789059,-1.7425728548176687,0.5447180941789239
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,peaks_equal_four_cores,1,10,-5.0,6.454972243679028,-1.25,7.095577652469334,-13.75,7.095577652469334,-3.571873981290554,0.6515279034672811,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,continuum_equal_two_windows,1,10,-5.583333333333336,1.114577924874379,-2.29166666666668,1.1326046132152843,-3.3333333333333286,0.5555555555555571,0.6414062549147059,0.05940818931119154,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,overall,1,10,-3.9366515837104084,0.724923972289468,-1.7420814479637996,0.6833261713468632,-1.3574660633484157,0.39905751298108316,-2.4272416800537746,0.26446930183427564,-4.669129462761247,0.07448128434038895
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,sparse_tail_2700_3000,1,10,4.615384615384615,3.972290611494786,-4.615384615384615,8.26898230594723,-18.46153846153846,5.3785069136930845,3.7626768117701217,0.34940211097967633,0.18258976935722798,0.20915250361673213
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,FE_core,1,10,-20.0,25.81988897471611,-35.0,33.74742788552764,-55.0,28.382310609877337,1.8891796289528302,2.6753414814619463,-6.26809387373558,0.4370448998258453
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,SE_core,1,10,0.0,0.0,30.0,25.81988897471611,0.0,0.0,-15.150546495088747,0.11501861799164345,-14.810384075333715,0.11442364716653965
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,DEP_core,1,10,0.0,0.0,0.0,0.0,0.0,0.0,4.028214716122315,0.4613251200097024,-4.0372346763953475,0.46217039776349295
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,feature_1620_core,1,10,0.0,0.0,0.0,0.0,0.0,0.0,-5.054343775148617,0.43035940789487714,-5.054343775148635,0.43035940789486427
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,peaks_equal_four_cores,2,10,5.0,12.0761472884912,5.0,18.819316317727026,13.75,19.048549084437436,-3.6587535829342053,0.6575859758332545,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,continuum_equal_two_windows,2,10,-1.0000000000000029,2.3992025424099093,-6.5833333333333375,1.1419335995052518,-3.166666666666663,0.7905694150420896,0.7814876392900334,0.04028864619247523,,
contexts_within_seed,global_both,density_free_global,direct density input under global modulation,overall,2,10,-2.5565610859728496,1.0774024983705517,-1.4705882352941173,1.094164263087999,-1.968325791855203,0.7545247926564532,-2.292328253770749,0.22428210490323416,-3.9058135942644676,0.12885159842580604
